編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLTKLHKFFDP66CA,17,3.14,共有部份,鋼筋混凝土造,86年11月6日,008
RPWNMLTKLHKFFDP37CA,,195.16,見其他登記事項,鋼筋混凝土造,103年10月22日,003,一層 二層 三層 見其他登記事項
RPRNMLSJMHKFFCP66CA,,172.21,見其他登記事項,鋼筋混凝土造,103年9月15日,003,一層 二層 三層 見其他登記事項
RPVNMLKMLHKFFDP56CA,35,107.91,住商用,加強磚造,69年4月28日,002,一層 二層 騎樓
RPRNMLTJMHKFFDP86CA,19,116.19,住家用,鋼筋混凝土造,85年3月9日,013,十一層
RPRNMLTJMHKFFDP86CA,19,21.12,共有部份,鋼筋混凝土造,85年3月9日,013
RPRNMLTJMHKFFDP86CA,19,24.45,共有部份,鋼筋混凝土造,85年3月9日,013
RPPNMLTKLHKFFEP76CA,21,183.54,住商用,鋼筋混凝土造,83年3月3日,003,一層 二層 三層 騎樓 電梯樓梯間
RPRNMLMJMHKFFFP98CA,31,183.17,住家用,加強磚造,72年9月12日,003,一層 二層 三層 騎樓
RPROMLQLLHKFFEP86CA,25,188.98,住商用,鋼筋混凝土造,78年8月23日,003,一層 二層 三層 騎樓 電梯樓梯間
RPXNMLSKLHKFFAP17DA,10,230.50,見其他登記事項,鋼筋混凝土造,94年7月25日,004,一層 二層 三層 四層 見其他登記事項
RPQNMLPKMHKFFAP88DA,20,129.59,住家用,鋼筋混凝土造,84年7月30日,009,六層
RPQNMLPKMHKFFAP88DA,20,5.02,共同部份,鋼筋混凝土造,84年7月30日,009
RPQNMLTKLHKFFCP76DA,8,133.25,見其他登記事項,鋼筋混凝土造,96年2月9日,008,四層
RPQNMLTKLHKFFCP76DA,8,24.15,共有部份,鋼筋混凝土造,96年2月9日,B00
RPQNMLTKLHKFFCP76DA,8,21.09,共有部份,鋼筋混凝土造,96年2月9日,008
RPPOMLTKLHKFFAP66EA,34,126.84,住家用,見其他登記事項,70年2月15日,002,一層 二層
RPPNMLNLLHKFFFP09DA,,171.87,見其他登記事項,鋼筋混凝土加強磚造,103年12月17日,003,一層 二層 三層
RPQNMLNLLHKFFFP56DA,,173.60,見其他登記事項,鋼筋混凝土加強磚造,103年12月17日,003,一層 二層 三層
RPUNMLTKLHKFFBP07DA,22,162.06,住家用,鋼筋混凝土造,82年2月5日,003,一層 二層 三層 電梯樓梯間
RPTNMLNLLHKFFAP98DA,35,108.06,住商用,見其他登記事項,69年1月30日,002,一層 二層 騎樓
RPQNMLTKMHKFFDP86CA,21,21.88,住家用,鋼筋混凝土造,83年6月14日,009,六層
RPQNMLTKMHKFFDP86CA,21,8.27,共有部份,鋼筋混凝土造,83年6月14日,009
SPQNMLTKMHKFFDP96CA,21,21.88,住家用,鋼筋混凝土造,83年6月14日,009,六層
SPQNMLTKMHKFFDP96CA,21,8.27,共有部份,鋼筋混凝土造,83年6月14日,009
RPSNMLKLLHKFFDP78CA,19,171.40,住家用,鋼筋混凝土造,84年10月18日,003,一層 二層 三層 電梯樓梯間 見其他登記事項
RPPPMLTKLHKFFAP56CA,15,99.94,住家用,鋼筋混凝土造,88年9月26日,005,二層 三層
RPSNMLKLLHKFFAP48CA,20,171.96,住家用,鋼筋混凝土造,83年11月15日,003,一層 二層 三層
RPOOMLKLLHKFFAP18CA,,158.58,住家用,鋼筋混凝土造,103年8月20日,003,一層 二層 三層
RPPNMLNLLHKFFAP48CA,17,154.61,住家用,鋼筋混凝土造,86年11月21日,007,五層
RPPNMLNLLHKFFAP48CA,17,41.11,共同部份,鋼筋混凝土造,86年11月21日,007
RPPNMLNLLHKFFAP48CA,17,14.02,共同部份,鋼筋混凝土造,86年11月21日,007
RPQNMLNLLHKFFAP58CA,20,192.58,住家用,鋼筋混凝土造,83年12月20日,003,一層 二層 三層 電梯樓梯間
RPQNMLOLLHKFFBP78CA,18,72.17,住家用,鋼筋混凝土造,85年10月20日,011,十層
RPQNMLOLLHKFFBP78CA,18,32.03,共有部份,鋼筋混凝土造,85年10月20日,011
RPUNMLLMLHKFFBP98CA,35,216.22,住家用,加強磚造,69年6月23日,003,一層 二層 三層
RPQNMLNLLHKFFBP68CA,34,137.86,住家用,加強磚造,70年6月13日,002,二層 騎樓 電梯樓梯間 一層
RPSNMLKKMHKFFAP48CA,20,192.83,住家用,鋼筋混凝土造,83年11月15日,004,一層 二層 三層 四層 騎樓 電梯樓梯間
