編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLSKLHKFFAA47CA,31,50.19,住家用,鋼筋混凝土造,73年5月21日,003,一層
RPPOMLTKLHKFFAA57CA,34,88.71,見使用執照,鋼筋混凝土造,70年6月23日,009,三層
RPPOMLTKLHKFFAA57CA,34,19.49,共有部分,鋼筋混凝土造,70年6月23日,009
RPPOMLNLLHKFFAA07CA,2,129.29,見其他登記事項,鋼筋混凝土造,101年9月19日,015,五層
RPPOMLNLLHKFFAA07CA,2,56.63,見其他登記事項,鋼筋混凝土造,101年9月19日,015
RPPOMLNLLHKFFAA07CA,2,.08,見其他登記事項,鋼筋混凝土造,101年9月19日,015,地下一層
RPPOMLNLLHKFFAA07CA,2,.04,見其他登記事項,鋼筋混凝土造,101年9月19日,015
RPPOMLNLLHKFFAA07CA,2,68.33,見其他登記事項,鋼筋混凝土造,101年9月19日,015
RPUPMLNLLHKFFAA67CA,3,35.62,見其他登記事項,鋼筋混凝土造,100年10月24日,012
RPPNMLPJMHKFFAA07CA,16,25.93,國民住宅,鋼筋混凝土造,88年1月19日,016,十三層
RPPNMLPJMHKFFAA07CA,16,15.36,共有部分,鋼筋混凝土造,88年1月19日,016
RPQNMLTJMHKFFAA57CA,,123.93,住家用,鋼筋混凝土造,,004,三層 陽台
RPPPMLTJMHKFFAA67CA,2,81.02,住家用,鋼筋混凝土造,101年8月27日,014,十一層
RPPPMLTJMHKFFAA67CA,2,29.75,見其他登記事項,鋼筋混凝土造,101年8月27日,014
RPPPMLTJMHKFFAA67CA,2,3.34,見其他登記事項,鋼筋混凝土造,101年8月27日,014
RPPPMLTJMHKFFAA67CA,2,8.50,見其他登記事項,鋼筋混凝土造,101年8月27日,014
RPPPMLTJMHKFFAA67CA,2,13.02,見其他登記事項,鋼筋混凝土造,101年8月27日,014
RPPPMLTJMHKFFAA67CA,2,22.67,見其他登記事項,鋼筋混凝土造,101年8月27日,014
RPVNMLSKLHKFFBA08CA,36,93.98,住家用,鋼筋混凝土造,68年6月22日,005,三層
RPWNMLSKLHKFFBA18CA,42,69.80,住商用,鋼筋混凝土造,61年10月28日,005,三層
RPQNMLKLLHKFFBA86CA,4,14.35,停車空間,鋼筋混凝土造,100年1月31日,023,地下二層
