鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
七堵區,房地(土地+建物),基隆市七堵區崇孝街1~30號,27.25,住,,,10401,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0650623,72.71,3,2,2,有,無,2800000,38509,,0.0,0,凶宅,RPROMLKKMHKFFCC37CA
安樂區,房地(土地+建物),基隆市安樂區武嶺街301~330號,18.52,住,,,10402,土地4建物1車位0,四層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850216,67.84,1,1,1,有,無,2450000,36114,,0.0,0,,RPRNMLKKMHKFFCC27CA
安樂區,車位,基隆市安樂區武嶺街271~300號,0.0,,,,10402,土地0建物0車位1,,,其他,,,,36.24,0,0,0,有,無,700000,,坡道平面,36.24,700000,,RPWNMLOLLHKFFCC18CA
七堵區,房地(土地+建物)+車位,基隆市七堵區福五街1~30號,40.8,住,,,10402,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1031114,176.20999999999998,3,2,2,有,有,13910000,83783,坡道平面,28.09,1500000,,RPXNMLOLLHKFFCC28CA
七堵區,房地(土地+建物)+車位,基隆市七堵區福五街1~30號,40.8,住,,,10402,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1031114,176.20999999999998,3,2,2,有,有,13710000,82433,坡道平面,28.09,1500000,,RPOOMLOLLHKFFCC47CA
中山區,房地(土地+建物),基隆市中山區復興路1~30號,32.0,住,,,10402,土地3建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681204,113.85,3,2,2,有,無,3000000,26350,,0.0,0,含增建或未登記建物。,RPQOMLNLLHKFFCC57CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街121~150號,34.1,住,,,10402,土地1建物1車位2,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980624,217.73000000000002,3,2,2,有,有,9980000,55899,坡道平面,60.66,1200000,本案車位總價為專案優惠。,RPPNMLOLLHKFFCC47CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區八堵路20巷31~60號,42.69,住,,,10401,土地2建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0901004,192.39,4,2,2,有,有,8200000,42622,坡道平面,0.0,0,,RPSOMLTKLHKFFCC28CA
安樂區,房地(土地+建物),基隆市安樂區樂利三街263巷31~60號,22.27,住,,,10402,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720913,78.23,2,1,1,有,無,2300000,29400,,0.0,0,,RPRNMLSKLHKFFCC97CA
安樂區,房地(土地+建物),基隆市安樂區基金一路121巷1~30號,34.44,住,,,10402,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850503,101.06,3,2,2,有,有,3220000,31862,,0.0,0,,RPSNMLSKLHKFFCC08CA
安樂區,房地(土地+建物),基隆市安樂區基金三路80巷31~60號,131.38,住,,,10401,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1020626,254.62,3,2,3,有,無,12940000,50821,,0.0,0,,RPUNMLNLLHKFFCC87CA
安樂區,房地(土地+建物),基隆市安樂區基金三路80巷61~90號,130.1,住,,,10402,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1020626,259.94,3,2,3,有,無,16080000,61860,,0.0,0,,RPVNMLNLLHKFFCC97CA
七堵區,土地,長安段721~750地號,732.84,,山坡地保育區,農牧用地,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,985000,1344,,0.0,0,部分土地被佔用現狀點交,RPPNMLMJMHKFFCC17CA
仁愛區,土地,成功段1651~1680地號,207.0,住,,,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5300000,25604,,0.0,0,1.含增建或未登記建物。2.有折價20萬元補貼拆屋費用,RPPNMLMLLHKFFBC17CA
中正區,房地(土地+建物),基隆市中正區新豐街451~480號,11.55,住,,,10403,土地5建物1車位0,一層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,60.79,2,1,1,有,有,2900000,47705,,0.0,0,,RPSNMLPLLHKFFBC77CA
中正區,房地(土地+建物),基隆市中正區新豐街161巷61~90號,41.38,住,,,10401,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740718,112.99,3,2,2,有,無,1920000,16993,,0.0,0,,RPXNMLTKLHKFFBC58CA
中正區,房地(土地+建物),基隆市中正區新豐街303巷13弄1~30號,26.81,住,,,10401,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851119,103.76,3,2,1,有,有,2950000,28431,,0.0,0,,RPOOMLTKLHKFFBC77CA
中正區,車位,基隆市中正區觀海街61~90號,0.0,,,,10401,土地0建物0車位3,,,其他,,,,104.96,0,0,0,有,有,1200000,,坡道平面,104.97,1200000,,RPPOMLTKLHKFFBC87CA
仁愛區,房地(土地+建物),基隆市仁愛區曲水街1~30號,14.16,住,,,10401,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850124,77.28,3,1,1,有,有,3900000,50466,,0.0,0,,RPSOMLTKLHKFFBC18CA
中正區,房地(土地+建物),基隆市中正區調和街29巷61~90號,64.0,住,,,10402,土地1建物1車位0,二層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0660107,109.48,12,1,7,有,無,1750000,15985,,0.0,0,頂樓有增建,RPRNMLSKLHKFFBC87CA
中正區,車位,基隆市中正區新豐街451~480號,1.7,其他,,,10403,土地0建物0車位1,,,其他,,,,34.17,0,0,0,有,有,450000,,坡道平面,34.17,450000,,RPTNMLSKLHKFFBC08CA
中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷121~150號,97.6,住,,,10402,土地6建物1車位2,六層，見其他登記事項,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,377.55,2,2,3,有,有,16000000,42378,坡道平面,0.0,0,,RPUNMLSKLHKFFBC18CA
中正區,房地(土地+建物),基隆市中正區正義路80巷1~30號,36.25,住,,,10403,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780524,124.7,3,2,2,有,無,5500000,44106,,0.0,0,,RPRNMLKLLHKFFBC17CA
中正區,房地(土地+建物)+車位,基隆市中正區觀海街61~90號,23.4,住,,,10401,土地2建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,153.51,3,2,2,有,無,3500000,22800,坡道平面,38.71,0,,RPUNMLTKLHKFFBC28CA
信義區,房地(土地+建物),基隆市信義區福民街55巷1~30號,24.21,住,,,10402,土地2建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850513,114.85,3,2,2,有,有,3120000,27166,,0.0,0,,RPWNMLSKLHKFFBC38CA
中正區,房地(土地+建物),基隆市中正區正榮街1~30號,47.5,住,,,10402,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0611219,109.9,3,2,1,有,無,3000000,27298,,0.0,0,,RPQNMLPLLHKFFBC57CA
信義區,房地(土地+建物),基隆市信義區義七路10巷1~30號,27.46,商,,,10402,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0991222,112.93,3,2,2,有,有,10200000,90321,,0.0,0,,RPWNMLLMLHKFFBC87CA
七堵區,土地,八堵段八堵北小段151~180地號,301.0,住,,,10403,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11395915,37860,,0.0,0,,RPWNMLQLLHKFFCC38CA
安樂區,房地(土地+建物),基隆市安樂區武聖街61~90號,23.0,住,,,10402,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790424,98.53,3,1,1,有,無,1000000,10149,,0.0,0,瑕疵物件之交易。,RPPNMLRLLHKFFCC77CA
暖暖區,房地(土地+建物),基隆市暖暖區八堵路151~180號,31.99,住,,,10402,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1021129,94.91,2,1,1,有,有,7750000,81656,,0.0,0,,RPRNMLKMLHKFFCC37CA
暖暖區,房地(土地+建物),基隆市暖暖區寧靜街151~180號,27.5,住,,,10402,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660209,59.65,3,1,1,有,無,1520000,25482,,0.0,0,,RPOOMLKMLHKFFCC17CA
信義區,房地(土地+建物),基隆市信義區教孝街61~90號,22.13,住,,,10403,土地2建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820618,120.77,3,2,2,有,有,4380000,36267,,0.0,0,姊妹間過戶買賣(二等親買賣),RPTNMLNKMHKFFBC67CA
七堵區,房地(土地+建物)+車位,基隆市七堵區大華一路121~150號,46.39,住,,,10402,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010613,169.13,3,2,2,有,有,9350000,57842,坡道平面,26.5,1100000,,RPPNMLKLLHKFFCC07CA
