編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLNKMHKFFCT86CA,2,110.44,住家用,鋼筋混凝土造,99年6月25日,002,一層 二層
RPTNMLNKMHKFFCT86CA,2,110.44,住家用,鋼筋混凝土造,99年6月25日,002,一層 二層
RPQNMLKMLHKFFET56CA,36,85.68,住商用,鋼筋混凝土加強磚造,67年11月15日,002,一層 二層
RPPNMLOLLHKFFFT86CA,17,95.16,住家用,鋼筋混凝土造,87年6月19日,005,五層
RPUNMLKMLHKFFDT96DA,,167.25,住宅,鋼筋混凝土構造,103年12月22日,003,一層 二層 三層
RPSNMLQLLHKFFET37DA,34,95.88,住家用,鋼筋混凝土加強磚造,69年12月17日,002,一層 二層 騎樓
RPRNMLKMLHKFFET76DA,19,21.45,住家用,鋼筋混凝土造,84年11月17日,012,九層
RPRNMLKMLHKFFET76DA,19,15.93,共用部份,鋼筋混凝土造,84年11月17日,012
RPPNMLNLLHKFFBT09DA,29,230.57,住家用,鋼筋混凝土造,74年11月4日,003,一層 二層 三層
RPUOMLQKMHKFFAT27DA,15,126.60,見其他登記事項,鋼筋混凝土造,88年12月4日,014,八層
RPUOMLQKMHKFFAT27DA,15,38.41,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPSOMLKKMHKFFAT09DA,15,98.05,見其他登記事項,鋼筋混凝土造,88年12月4日,014,四層
RPSOMLKKMHKFFAT09DA,15,28.81,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPROMLRKMHKFFAT07DA,15,62.91,見其他登記事項,鋼筋混凝土造,88年12月4日,014,六層
RPROMLRKMHKFFAT07DA,15,23.05,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPPNMLNJMHKFFET56CA,1,196.58,見其他登記事項,見其他登記事項,103年10月20日,003,一層 二層 三層 屋頂突出物
RPQNMLNJMHKFFET66CA,1,196.62,見其他登記事項,見其他登記事項,103年10月20日,003,一層 二層 三層 屋頂突出物
RPRNMLNJMHKFFET76CA,1,197.81,見其他登記事項,見其他登記事項,103年10月20日,003,一層 二層 三層 屋頂突出物 見其他登記事項
RPSNMLNJMHKFFET86CA,1,184.60,見其他登記事項,見其他登記事項,103年10月20日,003,二層 三層 屋頂突出物 見其他登記事項
