編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLNLLHKFFAU09CA,22,189.01,住商用,鋼筋混凝土造,82年1月7日,003,一層 二層 三層 騎樓
RPSPMLPLLHKFFAU07CA,23,292.28,見其他登記事項,鋼筋混凝土造,81年1月27日,004,一層 二層 三層 四層 儲藏室 見其他登記事項
RPRQMLPLLHKFFAU07CA,18,49.93,住家用,鋼筋混凝土造,85年10月29日,016,七層
RPRQMLPLLHKFFAU07CA,18,8.46,共有部份,鋼筋混凝土造,85年10月29日,016
RPRQMLPLLHKFFAU07CA,18,13.21,共有部份,鋼筋混凝土造,85年10月29日,016
RPQPMLOLLHKFFAU76CA,21,37.75,住家用,鋼筋混凝土造,83年2月2日,007,六層
RPQPMLOLLHKFFAU76CA,,11.84,共有部份,鋼筋混凝土造,,007
RPUOMLMJMHKFFAU76CA,18,49.93,住家用,鋼筋混凝土造,85年10月29日,016,六層
RPUOMLMJMHKFFAU76CA,18,8.46,共有部份,鋼筋混凝土造,85年10月29日,016
RPUOMLMJMHKFFAU76CA,18,13.21,共有部份,鋼筋混凝土造,85年10月29日,016
RPPNMLQKMHKFFAU66CA,,314.06,住家用,鋼筋混凝土造,103年7月24日,004,一層 二層 三層 四層
RPRPMLRJMHKFFAU07CA,38,108.46,住家用,鋼筋混凝土加強磚造,66年6月27日,002,一層 二層 騎樓
RPVNMLSJMHKFFAU37CA,20,24.50,住家用,鋼筋混凝土造,84年4月14日,005,四層
RPVNMLSJMHKFFAU37CA,20,12.54,共有部份,鋼筋混凝土造,84年4月14日,005
RPUNMLKLMHKFFAU66CA,,315.15,住家用,鋼筋混凝土造,103年7月24日,004,一層 二層 三層 四層
RPSPMLRKMHKFFAU27CA,31,139.70,住家用,鋼筋混凝土加強磚造,73年5月28日,002,二層 一層
RPSOMLOLLHKFFAU96DA,2,180.61,住家用,鋼筋混凝土造,102年1月10日,003,一層 二層 三層 屋頂突出物
RPTNMLTKLHKFFAU47EA,18,187.08,住家用,鋼筋混凝土造,86年4月29日,004,三層 一層 二層 四層 停車場
RPOOMLTKLHKFFAU07EA,16,113.78,住家用,鋼筋混凝土造,88年5月20日,005,四層 五層 見其他登記事項
RPOOMLTKLHKFFAU07EA,16,13.40,停車空間,鋼筋混凝土造,88年5月20日,005
RPOOMLTKLHKFFAU07EA,16,25.67,共有部份,鋼筋混凝土造,88年5月20日,005
RPVOMLOKMHKFFAU17CA,38,69.60,住家用,鋼筋混凝土加強磚造,66年3月31日,002,一層 二層
RPPOMLKMLHKFFAU88CA,20,226.39,住商用,鋼筋混凝土造,83年10月3日,003,騎樓 一層 二層 三層 屋頂突出物
RPPPMLOLLHKFFAU66CA,21,85.77,住家用,鋼筋混凝土造,83年4月1日,010,一層
RPPPMLOLLHKFFAU66CA,21,24.34,共有部份,鋼筋混凝土造,83年4月1日,010
RPPNMLQLLHKFFAU66CA,22,74.76,住家用,鋼筋混凝土造,82年3月5日,006,二層
RPPNMLQLLHKFFAU66CA,22,25.30,共有部份,鋼筋混凝土造,82年3月5日,006
RPUOMLPLLHKFFAU17CA,19,80.05,住家用,鋼筋混凝土造,85年3月5日,005,二層
RPUOMLPLLHKFFAU17CA,19,21.72,共有部份,鋼筋混凝土造,85年3月5日,005
RPTNMLKLLHKFFAU09CA,30,127.50,住家用,鋼筋混凝土造,74年7月5日,002,一層 二層 屋頂突出物
RPUNMLKLLHKFFAU56CA,4,270.65,住家用,鋼筋混凝土造,99年9月17日,003,一層 二層 三層 見其他登記事項
RPTNMLNLLHKFFAU76CA,37,70.78,住家用,鋼筋混凝土加強磚造,67年5月22日,002,一層 二層
RPXNMLOLLHKFFAU27CA,12,194.35,住家用,鋼筋混凝土造,92年8月14日,003,一層 二層 三層
RPQNMLOLLHKFFAU56CA,,206.30,住家用,鋼筋混凝土造,103年12月19日,003,一層 二層 三層 屋頂突出物
RPOQMLPLLHKFFAU76CA,38,61.78,住家用,鋼筋混凝土加強磚造,66年5月31日,001,一層
RPUNMLRLLHKFFAU27CA,21,105.71,住家用,鋼筋混凝土造,82年9月20日,007,三層
RPUNMLRLLHKFFAU27CA,21,34.55,共有部份,鋼筋混凝土造,82年9月20日,007
RPQOMLMJMHKFFAU98CA,16,159.93,住家用,鋼筋混凝土造,87年12月14日,007,二層
RPQOMLMJMHKFFAU98CA,16,60.32,共有部份,鋼筋混凝土造,87年12月14日,007
RPSNMLRKMHKFFAU07CA,21,43.50,住家用,鋼筋混凝土造,83年4月13日,012,八層
RPSNMLRKMHKFFAU07CA,21,14.37,共有部份,鋼筋混凝土造,83年4月13日,012
RPPNMLKLLHKFFCU88CA,34,144.64,住家用,鋼筋混凝土加強磚造,70年6月1日,002,一層 二層 騎樓
RPROMLPLLHKFFAU07EA,21,167.07,住商用,鋼筋混凝土造,82年12月23日,003,三層 屋頂突出物 一層 二層
RPQNMLOLLHKFFCU96EA,35,91.84,住家用,鋼筋混凝土造,68年2月15日,002,一層 二層
RPXNMLRKMHKFFAU77EA,22,113.29,住家用,鋼筋混凝土造,82年1月9日,007,五層
RPXNMLRKMHKFFAU77EA,22,13.22,共有部份,鋼筋混凝土造,82年1月9日,007
RPXNMLRKMHKFFAU77EA,22,9.81,共有部份,鋼筋混凝土造,82年1月9日,007
RPXNMLRKMHKFFAU77EA,22,.28,商業用,鋼筋混凝土造,82年1月9日,007,地下層
RPXNMLRKMHKFFAU77EA,22,15.02,共有部份,鋼筋混凝土造,82年1月9日,007
RPVOMLSJMHKFFAU47CA,15,78.41,住家用,鋼筋混凝土造,89年5月9日,006,五層
