"縣市","鄉鎮市區","交易標的","土地區段位置或建物區門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價每平方公尺","車位類別","車位移轉總面積平方公尺","車位總價元","lat","lon"
"臺北市","萬華區","房地(土地+建物)","臺北市萬華區西園路二段285號",25.8,"住",NA,NA,10401,"土地2建物1車位0","三層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",680622,93.98,3,2,1,"有","無",12080000,128538,"",0,0,25.024,121.49
"臺北市","中正區","房地(土地+建物)","臺北市中正區忠孝東路一段15號",16.4,"商",NA,NA,10402,"土地2建物1車位0","三層",5,"公寓(5樓含以下無電梯)","住商用","鋼筋混凝土造",611028,69.8,3,0,3,"有","無",19980000,286246,"",0,0,25.044,121.52
"臺北市","萬華區","車位","臺北市萬華區德昌街135號",3.66,"住",NA,NA,10402,"土地0建物0車位1","地下二層",23,"其他","停車空間","鋼筋混凝土造",1000131,33.71,0,0,0,"有","有",2480000,NA,"坡道平面",33.71,2480000,25.024,121.49
"臺北市","萬華區","車位","臺北市萬華區德昌街135號",4.27,"住",NA,NA,10402,"土地0建物0車位1","地下二層",23,"其他","停車空間","鋼筋混凝土造",1000131,33.71,0,0,0,"有","有",2580000,NA,"坡道平面",33.71,2580000,25.024,121.49
"臺北市","萬華區","房地(土地+建物)","臺北市萬華區西園路二段372巷45號",15.34,"住",NA,NA,10402,"土地1建物1車位0","三層",5,"公寓(5樓含以下無電梯)","國民住宅","鋼筋混凝土造",650820,45.64,2,1,1,"有","無",2320000,50833,"",0,0,25.026,121.49
"臺北市","大同區","房地(土地+建物)","臺北市大同區華亭街45號",3.01,"商",NA,NA,10402,"土地1建物1車位0","三層",11,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",991101,29.39,0,0,0,"無","無",6400000,217687,"",0,0,25.053,121.51
"臺北市","萬華區","房地(土地+建物)","臺北市萬華區成都路27巷9弄15號",33.25,"商",NA,NA,10402,"土地1建物1車位0","三層",4,"公寓(5樓含以下無電梯)","住家用","加強磚造",NA,94.01,1,1,1,"有","無",1e+07,106372,"",0,0,25.042,121.5
"臺北市","中正區","房地(土地+建物)+車位","臺北市中正區仁愛路一段51巷15號",25.74,"住",NA,NA,10403,"土地2建物1車位1","五層",16,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",870724,186.51,3,2,1,"有","有",4.2e+07,225189,"坡道平面",0,0,25.038,121.52
"臺北市","大同區","車位","臺北市大同區南京西路285號",0.52,"商",NA,NA,10402,"土地0建物0車位1","地下二層",19,"其他","見其他登記事項","鋼筋混凝土造",1011214,32.81,0,0,0,"有","無",3e+06,NA,"坡道平面",32.81,3000000,25.053,121.5
"臺北市","中山區","房地(土地+建物)","臺北市中山區新生北路三段88巷15號",32.32,"商",NA,NA,10401,"土地1建物1車位0","五層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",751119,142.31,4,1,2,"有","無",19200000,134917,"",0,0,25.067,121.52
"臺北市","中山區","房地(土地+建物)+車位","臺北市中山區南京東路二段195號",27.14,"商",NA,NA,10401,"土地2建物1車位2","十五層",15,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",990528,314.67,4,2,3,"有","有",110020000,349636,"坡道機械",0,0,25.051,121.53
"臺北市","中山區","房地(土地+建物)","臺北市中山區南京東路二段15號",61.25,"商",NA,NA,10308,"土地1建物1車位0","十一層，電梯樓梯間",11,"辦公商業大樓","商業用","鋼筋混凝土造",NA,489.22,10,2,1,"有","有",1.03e+08,210539,"",0,0,25.052,121.52
"臺北市","中山區","車位","臺北市中山區復興南路一段45號",0.01,"商",NA,NA,10403,"土地0建物0車位1","一層",15,"其他","商業用","鋼筋混凝土造",960710,5.09,0,0,0,"有","有",1e+06,NA,"升降機械",5.09,1000000,25.045,121.54
"臺北市","中山區","房地(土地+建物)","臺北市中山區雙城街19巷15號",3.54,"商",NA,NA,10402,"土地2建物1車位0","三層",14,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",970312,34,2,1,1,"有","有",6950000,204412,"",0,0,25.065,121.52
"臺北市","內湖區","車位","臺北市內湖區民權東路六段296巷45號",1.39,"住",NA,NA,10403,"土地0建物0車位2","地下三層",9,"其他","停車空間","鋼筋混凝土造",970408,41.07,0,0,0,"有","有",1450000,NA,"坡道機械",41.07,1450000,25.071,121.6
"臺北市","中山區","房地(土地+建物)","臺北市中山區建國北路二段45號",9.7,"住",NA,NA,10402,"土地5建物1車位0","三層",15,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",770524,78.32,1,1,1,"有","有",16360000,208887,"",0,0,25.055,121.53
"臺北市","中山區","房地(土地+建物)","臺北市中山區松江路46巷15號",20.5,"住",NA,NA,10401,"土地1建物1車位0","二層",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",591105,59.54,3,1,1,"有","無",13920000,233792,"",0,0,25.047,121.53
"臺北市","內湖區","房地(土地+建物)","臺北市內湖區文德路66巷32弄15號",40.46,"住",NA,NA,10311,"土地1建物1車位0","五層",5,"公寓(5樓含以下無電梯)","國民住宅","鋼筋混凝土造",730207,117.95,3,2,2,"有","無",7e+06,59347,"",0,0,25.076,121.58
"臺北市","內湖區","房地(土地+建物)+車位","臺北市內湖區民權東路六段218巷45號",25.02,"商",NA,NA,10312,"土地1建物1車位1","六層",11,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1031003,178.39,3,2,2,"有","有",31960000,179342,"升降機械",10.22,1800000,25.069,121.58
"臺北市","中山區","房地(土地+建物)","臺北市中山區吉林路135號",16.57,"其他",NA,NA,10401,"土地1建物1車位0","三層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",740527,98.36,2,2,2,"有","無",1.9e+07,193168,"",0,0,25.058,121.53
"臺北市","內湖區","房地(土地+建物)+車位","臺北市內湖區民權東路六段218巷45號",25.02,"商",NA,NA,10312,"土地1建物1車位1","十層",11,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1031003,178.39,3,2,2,"有","有",34050000,191176,"升降機械",10.22,1900000,25.069,121.58
"臺北市","內湖區","房地(土地+建物)+車位","臺北市內湖區民權東路六段218巷45號",25.02,"商",NA,NA,10312,"土地1建物1車位1","十一層",11,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1031003,178.39,3,2,2,"有","有",34210000,192722,"升降機械",10.22,1800000,25.069,121.58
"臺北市","內湖區","房地(土地+建物)+車位","臺北市內湖區內湖路一段411巷62弄15號",19.75,"住",NA,NA,10401,"土地1建物1車位1","十二層",14,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",970331,133.49,2,2,2,"有","有",27550000,206383,"坡道平面",0,0,25.082,121.57
"臺北市","內湖區","房地(土地+建物)+車位","臺北市內湖區內湖路一段705號",14.69,"商",NA,NA,10402,"土地1建物1車位2","一層",14,"店面(店鋪)","見其他登記事項","鋼筋混凝土造",1001028,125.47,0,0,1,"無","有",38200000,304455,"坡道平面",64.43,0,25.079,121.57
"臺北市","中山區","房地(土地+建物)","臺北市中山區北安路555號",20.06,"住",NA,NA,10402,"土地2建物1車位0","四層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",670628,74.02,2,2,1,"有","無",1.5e+07,202648,"",0,0,25.08,121.54
"臺北市","中山區","房地(土地+建物)","臺北市中山區南京西路15號",6.39,"商",NA,NA,10312,"土地1建物1車位0","八層",12,"辦公商業大樓","商業用","鋼筋混凝土造",680126,62.57,1,1,1,"有","有",13930000,222631,"",0,0,25.052,121.52
"臺北市","中山區","房地(土地+建物)","臺北市中山區中山北路二段93巷15號",2.34,"商",NA,NA,10403,"土地1建物1車位0","五層",14,"套房(1房1廳1衛)","商業用","鋼筋混凝土造",920808,31.34,1,1,1,"有","有",6700000,213784,"",0,0,25.059,121.52
"臺北市","中山區","房地(土地+建物)","臺北市中山區中山北路一段83巷15號",8.61,"商",NA,NA,10403,"土地1建物1車位0","四層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",760609,43.49,0,0,0,"無","無",6e+06,137963,"",0,0,25.05,121.52
"臺北市","內湖區","房地(土地+建物)+車位","臺北市內湖區民權東路六段135號",10.72,"商",NA,NA,10402,"土地1建物1車位1","十四層",14,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",980106,160.13,3,2,2,"有","無",23200000,144891,"坡道平面",37.5,0,25.069,121.59
"臺北市","中山區","房地(土地+建物)","臺北市中山區民生東路三段88巷15號",24.05,"住",NA,NA,10402,"土地1建物1車位0","十四層",15,"住宅大樓(11層含以上有電梯)","國民住宅","鋼筋混凝土造",750314,115.23,3,2,2,"有","有",24500000,212618,"",0,0,25.058,121.53
"臺北市","松山區","車位","臺北市松山區八德路三段15號",0.04,"其他",NA,NA,10403,"土地0建物0車位1","一層",14,"其他","見使用執照","鋼筋混凝土造",661013,1.47,0,0,0,"有","無",1200000,NA,"塔式車位",1.47,1200000,25.048,121.55
"臺北市","南港區","土地","",40.2,"工",NA,NA,10312,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",4900000,121891,"",0,0,NA,NA
"臺北市","南港區","房地(土地+建物)","臺北市南港區富康街15號",27.38,"商",NA,NA,10312,"土地1建物1車位0","一層",5,"店面(店鋪)","見使用執照","鋼筋混凝土造",740516,110.37,0,2,1,"有","無",24500000,221981,"",0,0,25.053,121.61
"臺北市","松山區","房地(土地+建物)","臺北市松山區撫遠街399巷15號",33.25,"住",NA,NA,10401,"土地1建物1車位0","二層，陽台",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",640410,89.76,2,2,2,"有","無",16300000,181595,"",0,0,25.065,121.56
