編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLNLLHKFFAO78CA,2,14.14,共有部分,鋼筋混凝土造,101年10月10日,014
RPTNMLNLLHKFFAO78CA,2,85.47,共有部分,鋼筋混凝土造,101年10月10日,014
RPTNMLLLLHKFFAO58CA,26,18.70,住家用,鋼筋混凝土造,78年1月7日,012,七層
RPTNMLLLLHKFFAO58CA,26,5.14,共有部分,鋼筋混凝土造,78年1月1日,012
RPQRMLOLLHKFFAO98CA,18,77.72,住家用,鋼筋混凝土造,86年5月20日,017,十六層
RPQRMLOLLHKFFAO98CA,18,11.48,共有部分,鋼筋混凝土造,86年5月20日,017
RPQRMLOLLHKFFAO98CA,18,7.97,共有部分,鋼筋混凝土造,86年5月20日,017
RPQRMLOLLHKFFAO98CA,18,3.49,見其他登記事項,鋼筋混凝土造,86年5月20日,017,四層
RPQRMLOLLHKFFAO98CA,18,.38,共有部分,鋼筋混凝土造,86年5月20日,017
RPQRMLOLLHKFFAO98CA,18,.24,共有部分,鋼筋混凝土造,86年5月20日,017
RPQOMLQLLHKFFAO88CA,15,286.83,見其他登記事項,鋼筋混凝土造,89年4月30日,004,一層 二層 三層 四層 地下層
RPQOMLQLLHKFFAO88CA,15,35.76,見其他登記事項,鋼筋混凝土造,89年4月30日,005
RPWQMLRLLHKFFAO17CA,19,.32,見使用執照,鋼筋混凝土造,84年10月9日,001,一層 地下層
RPWQMLRLLHKFFAO17CA,18,.05,見其他登記事項,鋼筋混凝土造,85年12月13日,015,一層
RPWQMLRLLHKFFAO17CA,18,.00,共有部分,鋼筋混凝土造,85年12月13日,015
RPWQMLRLLHKFFAO17CA,18,.00,共有部分,鋼筋混凝土造,85年12月13日,015
RPWQMLRLLHKFFAO17CA,18,.06,見其他登記事項,鋼筋混凝土造,85年12月13日,015,一層
RPWQMLRLLHKFFAO17CA,18,.01,共有部分,鋼筋混凝土造,85年12月13日,015
RPWQMLRLLHKFFAO17CA,18,.00,共有部分,鋼筋混凝土造,85年12月13日,015
RPWQMLRLLHKFFAO17CA,18,2.69,見其他登記事項,鋼筋混凝土造,85年12月13日,015,一層 二層
RPWQMLRLLHKFFAO17CA,18,.26,共有部分,鋼筋混凝土造,85年12月13日,015
RPWQMLRLLHKFFAO17CA,18,.70,共有部分,鋼筋混凝土造,85年12月13日,015
RPWQMLRLLHKFFAO17CA,14,121.51,住家用,鋼筋混凝土造,90年5月15日,014,十四層
RPWQMLRLLHKFFAO17CA,14,3.55,見其他登記事項,鋼筋混凝土造,90年5月15日,014
RPWQMLRLLHKFFAO17CA,14,17.40,見其他登記事項,鋼筋混凝土造,90年5月15日,014
RPWQMLRLLHKFFAO17CA,14,3.04,見其他登記事項,鋼筋混凝土造,90年5月15日,014
RPWQMLRLLHKFFAO17CA,14,11.94,見其他登記事項,鋼筋混凝土造,90年5月15日,014
RPWQMLRLLHKFFAO17CA,14,44.95,見其他登記事項,鋼筋混凝土造,90年5月15日,014
RPWPMLRLLHKFFAO07CA,,113.33,見其他登記事項,鋼筋混凝土造,103年9月11日,012,九層
RPWPMLRLLHKFFAO07CA,,23.97,共有部分,鋼筋混凝土造,103年9月11日,012
RPWPMLRLLHKFFAO07CA,,81.64,共有部分,鋼筋混凝土造,103年9月11日,014
RPXOMLRLLHKFFAO07CA,,244.29,見其他登記事項,鋼筋混凝土造,103年11月11日,004,見其他登記事項 一層 二層 三層 四層
RPSNMLKMLHKFFAO48CA,18,29.00,住家用,鋼筋混凝土造,86年2月5日,014,十層
RPSNMLKMLHKFFAO48CA,18,4.52,共有部分,鋼筋混凝土造,86年2月5日,014
RPSNMLKMLHKFFAO48CA,18,7.62,共有部分,鋼筋混凝土造,86年2月5日,014
RPROMLKMLHKFFAO48CA,,278.56,見其他登記事項,鋼筋混凝土造,104年1月6日,004,一層 二層 三層 四層 見其他登記事項
RPTOMLKMLHKFFAO68CA,,226.34,見其他登記事項,鋼筋混凝土造,103年11月11日,004,一層 二層 三層 四層 見其他登記事項
RPWOMLLMLHKFFAO09CA,,244.29,見其他登記事項,鋼筋混凝土造,103年11月11日,004,一層 二層 三層 四層 見其他登記事項
RPXNMLMJMHKFFAO98CA,23,41.54,住家用,鋼筋混凝土造,81年1月29日,012,十一層
RPXNMLMJMHKFFAO98CA,23,9.47,共有部分,鋼筋混凝土造,81年1月29日,012
RPXNMLMJMHKFFAO98CA,23,4.56,共有部分,鋼筋混凝土造,81年1月29日,000
RPQPMLKLLHKFFAO48DA,26,110.46,住家用,鋼筋混凝土造,77年8月16日,005,四層
RPPWMLMKNHKFFAO66CA,24,29.52,商業用,鋼筋混凝土造,80年3月7日,006,四層
RPPWMLMKNHKFFAO66CA,24,10.16,共有部分,鋼筋混凝土造,80年3月7日,006
RPUNMLSJNHKFFAO76CA,15,53.52,見其他登記事項,鋼筋混凝土造,89年5月1日,020,九層
RPUNMLSJNHKFFAO76CA,15,15.42,見其他登記事項,鋼筋混凝土造,89年5月1日,022
RPUNMLSJNHKFFAO76CA,17,.17,見其他登記事項,鋼筋混凝土造,87年6月23日,021,一層
RPUNMLSJNHKFFAO76CA,17,.85,見其他登記事項,鋼筋混凝土造,87年6月23日,021,一層 地下一層 地下二層 地下三層
RPUNMLNJMHKFFAO78CA,,88.97,見其他登記事項,鋼筋混凝土造,103年11月20日,005,三層
RPUNMLNJMHKFFAO78CA,,24.77,共有部分,鋼筋混凝土造,103年11月20日,005
RPSOMLSJMHKFFAO56CA,,39.63,共有部分,鋼筋混凝土造,103年9月10日,005
RPSOMLSJMHKFFAO56CA,,105.39,見其他登記事項,鋼筋混凝土造,103年9月10日,005,四層
RPUOMLSJMHKFFAO76CA,,39.63,共有部分,鋼筋混凝土造,103年9月10日,005
RPUOMLSJMHKFFAO76CA,,108.19,見其他登記事項,鋼筋混凝土造,103年9月10日,005,四層
RPVOMLSJMHKFFAO86CA,,27.59,見其他登記事項,鋼筋混凝土造,103年11月20日,005,五層
RPVOMLSJMHKFFAO86CA,,12.38,共有部分,鋼筋混凝土造,103年11月20日,005
RPWOMLSJMHKFFAO96CA,,12.38,共有部分,鋼筋混凝土造,103年11月20日,005
RPWOMLSJMHKFFAO96CA,,27.59,見其他登記事項,鋼筋混凝土造,103年11月20日,005,三層
RPPOMLLMLHKFFAO38CA,24,97.30,見使用執照,鋼筋混凝土造,80年1月12日,007,五層
RPPOMLLMLHKFFAO38CA,24,39.31,見使用執照,鋼筋混凝土造,80年1月12日,007
RPPQMLRLLHKFFAO09CA,1,85.00,見其他登記事項,鋼筋混凝土造,102年12月11日,015,三層
RPPQMLRLLHKFFAO09CA,1,.02,見其他登記事項,鋼筋混凝土造,102年12月11日,015,一層
RPPQMLRLLHKFFAO09CA,1,.00,共有部分,鋼筋混凝土造,102年12月11日,015
RPPQMLRLLHKFFAO09CA,1,27.25,共有部分,鋼筋混凝土造,102年12月11日,015
RPPQMLRLLHKFFAO09CA,1,18.61,共有部分,鋼筋混凝土造,102年12月11日,015
RPPQMLRLLHKFFAO09CA,1,20.74,共有部分,鋼筋混凝土造,102年12月11日,015
RPSPMLRLLHKFFAO66CA,,63.91,住家用,鋼筋混凝土造,,010,一層
RPSPMLRLLHKFFAO66CA,,1.64,共有部分,鋼筋混凝土造,,011
RPSPMLRLLHKFFAO66CA,,16.99,共有部分,鋼筋混凝土造,,011
RPSPMLRLLHKFFAO66CA,20,3.86,見其他登記事項,鋼筋混凝土造,84年3月7日,001,一層 地下層
RPTQMLRLLHKFFAO86CA,17,22.68,住家用,鋼筋混凝土造,87年3月2日,014,三層
RPTQMLRLLHKFFAO86CA,17,7.57,住家用,鋼筋混凝土造,87年3月2日,014
RPTQMLRLLHKFFAO86CA,17,2.31,見其他登記事項,鋼筋混凝土造,87年3月2日,014
RPPPMLQLLHKFFAO88CA,18,23.20,共有部分,鋼筋混凝土造,86年5月20日,017
RPTQMLOLLHKFFAO56CA,26,121.57,住商用,鋼筋混凝土造,78年8月15日,007,一層 二層 騎樓
RPTQMLOLLHKFFAO56CA,26,11.48,共有部分,鋼筋混凝土造,78年8月15日,007
RPTQMLOLLHKFFAO56CA,,15.17,共有部分,鋼筋混凝土造,,007
RPPQMLOLLHKFFAO78CA,15,172.17,辦公室,鋼筋混凝土造,88年12月5日,012,十一層
RPPQMLOLLHKFFAO78CA,15,39.69,見其他登記事項,鋼筋混凝土造,88年12月5日,012
RPPQMLOLLHKFFAO78CA,15,32.19,見其他登記事項,鋼筋混凝土造,88年12月5日,012
RPQSMLPLLHKFFAO56CA,34,118.03,住家用,鋼筋混凝土造,69年12月23日,004,三層
RPVOMLNLLHKFFAO09CA,2,20.23,共有部分,鋼筋混凝土造,102年7月5日,009
RPVOMLNLLHKFFAO09CA,2,106.54,見其他登記事項,鋼筋混凝土造,102年7月5日,009,八層
RPVOMLNLLHKFFAO09CA,2,64.11,共有部分,鋼筋混凝土造,102年7月5日,009
RPXNMLOLLHKFFAO66CA,21,100.62,住家用,鋼筋混凝土造,83年3月15日,005,三層
RPXNMLOLLHKFFAO66CA,21,9.61,共有部分,鋼筋混凝土造,83年3月15日,005
RPOOMLOLLHKFFAO48CA,14,73.97,住家用,鋼筋混凝土造,90年5月10日,005,五層
RPOOMLOLLHKFFAO48CA,14,.08,見其他登記事項,鋼筋混凝土造,90年5月15日,005,一層
RPOOMLOLLHKFFAO48CA,14,8.14,見其他登記事項,鋼筋混凝土造,90年5月10日,005
RPROMLOLLHKFFAO78CA,7,27.40,辦公室,鋼筋混凝土造,97年7月30日,010,二層
RPROMLOLLHKFFAO78CA,7,16.18,見其他登記事項,鋼筋混凝土造,97年7月30日,010
RPRNMLOLLHKFFAO68CA,7,108.96,見其他登記事項,鋼筋混凝土造,97年5月20日,014,八層
RPRNMLOLLHKFFAO68CA,7,19.62,見其他登記事項,鋼筋混凝土造,97年5月20日,014
RPRNMLOLLHKFFAO68CA,7,3.38,見其他登記事項,鋼筋混凝土造,97年5月20日,014
RPRNMLOLLHKFFAO68CA,7,51.90,見其他登記事項,鋼筋混凝土造,97年5月20日,014
RPOPMLKLLHKFFAO18CA,,189.71,見其他登記事項,鋼筋混凝土造,103年8月15日,015,四層
RPOPMLKLLHKFFAO18CA,,44.19,共有部分,鋼筋混凝土造,103年8月15日,015
RPOPMLKLLHKFFAO18CA,,103.29,共有部分,鋼筋混凝土造,103年8月15日,015
RPPOMLKLLHKFFAO18CA,2,156.40,見其他登記事項,鋼筋混凝土造,101年10月15日,011,九層
RPPOMLKLLHKFFAO18CA,2,137.55,共有部分,鋼筋混凝土造,101年10月15日,011
RPSQMLNLLHKFFAO98CA,11,256.97,見其他登記事項,鋼筋混凝土造,92年12月22日,005,一層 二層 三層 四層 五層
RPSQMLNLLHKFFAO98CA,13,2.81,住家用,鋼筋混凝土造,91年1月11日,002,一層 二層
RPRPMLNLLHKFFAO78CA,14,227.73,見其他登記事項,鋼筋混凝土造,90年4月30日,004,一層 二層 三層 四層
RPRSMLPLLHKFFAO66CA,1,111.78,見其他登記事項,鋼筋混凝土造,103年6月25日,017,九層
RPRSMLPLLHKFFAO66CA,1,45.22,共有部分,鋼筋混凝土造,103年6月25日,017
RPRSMLPLLHKFFAO66CA,1,39.55,共有部分,鋼筋混凝土造,103年6月25日,017
RPWOMLPLLHKFFAO76CA,24,74.34,住家用,鋼筋混凝土造,79年11月16日,007,五層
RPWOMLPLLHKFFAO76CA,24,13.08,共有部分,鋼筋混凝土造,79年11月16日,007
RPWOMLPLLHKFFAO76CA,24,20.15,共有部分,鋼筋混凝土造,79年11月16日,007,地下層
RPQPMLQLLHKFFAO98CA,20,162.78,住家用,鋼筋混凝土造,84年7月22日,003,一層 二層 三層 地下層
RPSUMLPLLHKFFAO96CA,25,95.98,住家用,鋼筋混凝土造,79年6月30日,005,四層
RPSUMLPLLHKFFAO96CA,25,16.63,共有部分,鋼筋混凝土造,79年6月30日,005
RPSQMLRLLHKFFAO76CA,21,.56,住家用,鋼筋混凝土造,82年11月4日,009,一層 二層
RPSQMLRLLHKFFAO76CA,21,.04,共有部分,鋼筋混凝土造,82年11月4日,009
RPSQMLRLLHKFFAO76CA,21,15.47,共有部分,鋼筋混凝土造,82年11月4日,009
RPSQMLRLLHKFFAO76CA,21,51.75,住家用,鋼筋混凝土造,82年11月4日,009,八層
RPQPMLRLLHKFFAO09CA,19,83.98,住家用,鋼筋混凝土造,84年9月25日,013,四層
RPQPMLRLLHKFFAO09CA,19,11.24,共有部分,鋼筋混凝土造,84年9月25日,013
RPQPMLRLLHKFFAO09CA,19,17.15,共有部分,鋼筋混凝土造,84年9月25日,013
RPPNMLTLLHKFFAO98CA,,108.26,住家用,鋼筋混凝土造,,004,三層
RPXOMLLMLHKFFAO56CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,九層
RPXOMLLMLHKFFAO56CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPXOMLLMLHKFFAO56CA,,52.10,共有部分,鋼筋混凝土造,103年10月31日,023
RPOPMLLMLHKFFAO38CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十層
RPOPMLLMLHKFFAO38CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPOPMLLMLHKFFAO38CA,,52.10,共有部分,鋼筋混凝土造,103年10月31日,023
RPPPMLLMLHKFFAO48CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十五層
RPPPMLLMLHKFFAO48CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPPPMLLMLHKFFAO48CA,,52.10,共有部分,鋼筋混凝土造,103年10月31日,023
RPQPMLLMLHKFFAO58CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,二十層
RPQPMLLMLHKFFAO58CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPQPMLLMLHKFFAO58CA,,52.21,共有部分,鋼筋混凝土造,103年10月31日,023
RPRPMLLMLHKFFAO68CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,二十一層
RPRPMLLMLHKFFAO68CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPRPMLLMLHKFFAO68CA,,52.21,共有部分,鋼筋混凝土造,103年10月31日,023
RPSPMLLMLHKFFAO78CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,二層
RPSPMLLMLHKFFAO78CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPSPMLLMLHKFFAO78CA,,52.21,共有部分,鋼筋混凝土造,103年10月31日,023
RPTPMLLMLHKFFAO88CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,九層
RPTPMLLMLHKFFAO88CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPTPMLLMLHKFFAO88CA,,79.98,共有部分,鋼筋混凝土造,103年10月31日,023
RPVPMLLMLHKFFAO09CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十三層
RPVPMLLMLHKFFAO09CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPVPMLLMLHKFFAO09CA,,79.98,共有部分,鋼筋混凝土造,103年10月31日,023
RPWPMLLMLHKFFAO56CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十五層
RPWPMLLMLHKFFAO56CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPWPMLLMLHKFFAO56CA,,52.21,共有部分,鋼筋混凝土造,103年10月31日,023
RPXPMLLMLHKFFAO66CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十六層
RPXPMLLMLHKFFAO66CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPXPMLLMLHKFFAO66CA,,47.76,共有部分,鋼筋混凝土造,103年10月31日,023
RPOQMLLMLHKFFAO48CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,二十一層
RPOQMLLMLHKFFAO48CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPOQMLLMLHKFFAO48CA,,52.33,共有部分,鋼筋混凝土造,103年10月31日,023
RPPQMLLMLHKFFAO58CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,二層
RPPQMLLMLHKFFAO58CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPPQMLLMLHKFFAO58CA,,52.10,共有部分,鋼筋混凝土造,103年10月31日,023
RPQQMLLMLHKFFAO68CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,四層
RPQQMLLMLHKFFAO68CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPQQMLLMLHKFFAO68CA,,52.10,共有部分,鋼筋混凝土造,103年10月31日,023
RPRQMLLMLHKFFAO78CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,五層
RPRQMLLMLHKFFAO78CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPRQMLLMLHKFFAO78CA,,47.64,共有部分,鋼筋混凝土造,103年10月31日,023
RPSQMLLMLHKFFAO88CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,六層
RPSQMLLMLHKFFAO88CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPSQMLLMLHKFFAO88CA,,52.10,共有部分,鋼筋混凝土造,103年10月31日,023
RPTQMLLMLHKFFAO98CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,七層
RPTQMLLMLHKFFAO98CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPTQMLLMLHKFFAO98CA,,52.10,共有部分,鋼筋混凝土造,103年10月31日,023
RPWRMLLMLHKFFAO76CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十四層
RPWRMLLMLHKFFAO76CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPWRMLLMLHKFFAO76CA,,52.21,共有部分,鋼筋混凝土造,103年10月31日,023
RPXRMLLMLHKFFAO86CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十八層
RPXRMLLMLHKFFAO86CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPXRMLLMLHKFFAO86CA,,84.55,共有部分,鋼筋混凝土造,103年10月31日,023
RPOSMLLMLHKFFAO68CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,二十層
RPOSMLLMLHKFFAO68CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPOSMLLMLHKFFAO68CA,,52.33,共有部分,鋼筋混凝土造,103年10月31日,023
RPPSMLLMLHKFFAO78CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,二十二層
RPPSMLLMLHKFFAO78CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPPSMLLMLHKFFAO78CA,,52.33,共有部分,鋼筋混凝土造,103年10月31日,023
RPVQMLLMLHKFFAO56CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十二層
RPVQMLLMLHKFFAO56CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPVQMLLMLHKFFAO56CA,,84.32,共有部分,鋼筋混凝土造,103年10月31日,023
RPWQMLLMLHKFFAO66CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十四層
RPWQMLLMLHKFFAO66CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPWQMLLMLHKFFAO66CA,,52.10,共有部分,鋼筋混凝土造,103年10月31日,023
RPXQMLLMLHKFFAO76CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十七層
RPXQMLLMLHKFFAO76CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPXQMLLMLHKFFAO76CA,,52.10,共有部分,鋼筋混凝土造,103年10月31日,023
RPORMLLMLHKFFAO58CA,,114.44,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十九層
RPORMLLMLHKFFAO58CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPORMLLMLHKFFAO58CA,,52.21,共有部分,鋼筋混凝土造,103年10月31日,023
RPPRMLLMLHKFFAO68CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,四層
RPPRMLLMLHKFFAO68CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPPRMLLMLHKFFAO68CA,,52.21,共有部分,鋼筋混凝土造,103年10月31日,023
RPQRMLLMLHKFFAO78CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,六層
RPQRMLLMLHKFFAO78CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPQRMLLMLHKFFAO78CA,,84.43,共有部分,鋼筋混凝土造,103年10月31日,023
RPRRMLLMLHKFFAO88CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,七層
RPRRMLLMLHKFFAO88CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPRRMLLMLHKFFAO88CA,,84.43,共有部分,鋼筋混凝土造,103年10月31日,023
RPSRMLLMLHKFFAO98CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十層
RPSRMLLMLHKFFAO98CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPSRMLLMLHKFFAO98CA,,52.21,共有部分,鋼筋混凝土造,103年10月31日,023
RPTRMLLMLHKFFAO09CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十一層
RPTRMLLMLHKFFAO09CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPTRMLLMLHKFFAO09CA,,84.43,共有部分,鋼筋混凝土造,103年10月31日,023
RPURMLLMLHKFFAO56CA,,114.46,見其他登記事項,鋼筋混凝土造,103年10月31日,023,十二層
RPURMLLMLHKFFAO56CA,,29.00,共有部分,鋼筋混凝土造,103年10月31日,023
RPURMLLMLHKFFAO56CA,,79.98,共有部分,鋼筋混凝土造,103年10月31日,023
RPSRMLRKMHKFFAO86CA,19,211.37,見其他登記事項,鋼筋混凝土造,85年4月7日,003,一層 二層 三層 地下一層
RPSRMLRKMHKFFAO86CA,19,17.69,共有部分,鋼筋混凝土造,85年4月7日,003
RPUNMLOKMHKFFAO98CA,27,147.35,住家用,鋼筋混凝土造,77年9月3日,002,一層 二層
RPQPMLPKMHKFFAO88CA,21,90.73,住家用,鋼筋混凝土造,83年2月5日,011,十一層
RPQPMLPKMHKFFAO88CA,21,7.96,共有部分,鋼筋混凝土造,83年2月5日,011
RPQPMLPKMHKFFAO88CA,21,8.86,共有部分,鋼筋混凝土造,83年2月5日,012
RPTSMLPLLHKFFAO96DA,10,30.98,見其他登記事項,鋼筋混凝土造,94年2月20日,004,地下三層
RPTSMLPLLHKFFAO96DA,10,6.50,共有部分,鋼筋混凝土造,94年2月20日,004
RPTSMLPLLHKFFAO96DA,10,10.88,共有部分,鋼筋混凝土造,94年2月20日,004
RPTSMLPLLHKFFAO96DA,10,1.61,見其他登記事項,鋼筋混凝土造,94年2月20日,004,地下一層
RPTSMLPLLHKFFAO96DA,10,.50,共有部分,鋼筋混凝土造,94年2月20日,004
RPQPMLSJMHKFFAO66EA,10,30.98,見其他登記事項,鋼筋混凝土造,94年2月20日,004,地下一層
RPQPMLSJMHKFFAO66EA,10,40.55,共有部分,鋼筋混凝土造,94年2月20日,004
RPQPMLSJMHKFFAO66EA,10,10.88,共有部分,鋼筋混凝土造,94年2月20日,004
RPQPMLSJMHKFFAO66EA,10,1.61,見其他登記事項,鋼筋混凝土造,94年2月20日,004,地下一層
RPQPMLSJMHKFFAO66EA,10,.50,共有部分,鋼筋混凝土造,94年2月20日,004
RPUNMLOJMHKFFAO88CA,,53.85,住家用,鋼筋混凝土造,,005,二層
RPPNMLPJMHKFFAO48CA,5,281.70,見其他登記事項,鋼筋混凝土造,98年9月17日,005,一層 二層 三層 四層 五層 見其他登記事項
RPVRMLLMLHKFFAO66CA,,44.74,住家用,加強磚造,,002,一層 二層
RPQTMLLMLHKFFAO98CA,7,51.83,見其他登記事項,鋼筋混凝土造,97年1月31日,015,十五層
RPQTMLLMLHKFFAO98CA,7,54.34,見其他登記事項,鋼筋混凝土造,97年1月31日,015
RPWQMLRJMHKFFAO07CA,,84.19,見其他登記事項,鋼筋混凝土造,103年11月10日,008,一層
RPWQMLRJMHKFFAO07CA,,31.46,共有部分,鋼筋混凝土造,103年11月10日,008
RPWQMLRJMHKFFAO07CA,,7.59,共有部分,鋼筋混凝土造,103年11月10日,008
RPXQMLRJMHKFFAO17CA,,51.77,見其他登記事項,鋼筋混凝土造,103年11月10日,008,二層
RPXQMLRJMHKFFAO17CA,,42.35,共有部分,鋼筋混凝土造,103年11月10日,008
RPXQMLRJMHKFFAO17CA,,17.33,共有部分,鋼筋混凝土造,103年11月10日,008
RPORMLRJMHKFFAO98CA,,44.31,見其他登記事項,鋼筋混凝土造,103年11月10日,008,二層
RPORMLRJMHKFFAO98CA,,39.29,共有部分,鋼筋混凝土造,103年11月10日,008
RPORMLRJMHKFFAO98CA,,15.76,共有部分,鋼筋混凝土造,103年11月10日,008
RPXPMLSJMHKFFAO17CA,,46.33,見其他登記事項,鋼筋混凝土造,103年11月10日,008,二層
RPXPMLSJMHKFFAO17CA,,40.76,共有部分,鋼筋混凝土造,103年11月10日,008
RPXPMLSJMHKFFAO17CA,,16.50,共有部分,鋼筋混凝土造,103年11月10日,008
RPOQMLSJMHKFFAO98CA,,47.22,見其他登記事項,鋼筋混凝土造,103年11月10日,008,二層
RPOQMLSJMHKFFAO98CA,,40.63,共有部分,鋼筋混凝土造,103年11月10日,008
RPOQMLSJMHKFFAO98CA,,16.44,共有部分,鋼筋混凝土造,103年11月10日,008
RPPQMLSJMHKFFAO09CA,,44.31,見其他登記事項,鋼筋混凝土造,103年11月10日,008,三層
RPPQMLSJMHKFFAO09CA,,54.22,共有部分,鋼筋混凝土造,103年11月10日,008
RPPQMLSJMHKFFAO09CA,,15.76,共有部分,鋼筋混凝土造,103年11月10日,008
RPQQMLSJMHKFFAO56CA,,46.33,見其他登記事項,鋼筋混凝土造,103年11月10日,008,三層
RPQQMLSJMHKFFAO56CA,,40.76,共有部分,鋼筋混凝土造,103年11月10日,008
RPQQMLSJMHKFFAO56CA,,16.50,共有部分,鋼筋混凝土造,103年11月10日,008
RPRQMLSJMHKFFAO66CA,,47.22,見其他登記事項,鋼筋混凝土造,103年11月10日,008,三層
RPRQMLSJMHKFFAO66CA,,40.63,共有部分,鋼筋混凝土造,103年11月10日,008
RPRQMLSJMHKFFAO66CA,,16.44,共有部分,鋼筋混凝土造,103年11月10日,008
RPSQMLSJMHKFFAO76CA,,44.31,見其他登記事項,鋼筋混凝土造,103年11月10日,008,四層
RPSQMLSJMHKFFAO76CA,,39.29,共有部分,鋼筋混凝土造,103年11月10日,008
RPSQMLSJMHKFFAO76CA,,15.76,共有部分,鋼筋混凝土造,103年11月10日,008
RPTQMLSJMHKFFAO86CA,,46.33,見其他登記事項,鋼筋混凝土造,103年11月10日,008,四層
RPTQMLSJMHKFFAO86CA,,40.76,共有部分,鋼筋混凝土造,103年11月10日,008
RPTQMLSJMHKFFAO86CA,,16.50,共有部分,鋼筋混凝土造,103年11月10日,008
RPUQMLSJMHKFFAO96CA,,47.22,見其他登記事項,鋼筋混凝土造,103年11月10日,008,四層
RPUQMLSJMHKFFAO96CA,,40.63,共有部分,鋼筋混凝土造,103年11月10日,008
RPUQMLSJMHKFFAO96CA,,16.44,共有部分,鋼筋混凝土造,103年11月10日,008
RPVQMLSJMHKFFAO07CA,,51.77,見其他登記事項,鋼筋混凝土造,103年11月10日,008,五層
RPVQMLSJMHKFFAO07CA,,42.35,共有部分,鋼筋混凝土造,103年11月10日,008
RPVQMLSJMHKFFAO07CA,,17.33,共有部分,鋼筋混凝土造,103年11月10日,008
