編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLRLLHKFFAO56CA,18,55.43,共有部分,鋼筋混凝土造,86年1月20日,010
RPTPMLRLLHKFFAO76CA,14,95.60,見其他登記事項,鋼筋混凝土造,89年10月16日,015,七層
RPTPMLRLLHKFFAO76CA,14,14.24,共有部分,鋼筋混凝土造,89年10月16日,015
RPTPMLRLLHKFFAO76CA,14,35.36,見其他登記事項,鋼筋混凝土造,89年10月16日,015
RPUPMLRLLHKFFAO86CA,17,119.27,住家用,鋼筋混凝土造,86年8月5日,008,六層
RPUPMLRLLHKFFAO86CA,17,11.92,共有部分,鋼筋混凝土造,86年8月5日,008
RPUPMLRLLHKFFAO86CA,17,16.45,共有部分,鋼筋混凝土造,86年8月5日,008
RPUPMLRLLHKFFAO86CA,17,.08,見其他登記事項,鋼筋混凝土造,86年8月5日,008,一層
RPUPMLRLLHKFFAO86CA,17,8.73,共有部分,鋼筋混凝土造,86年8月5日,008
RPUOMLMJMHKFFAO78CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,四層
RPUOMLMJMHKFFAO78CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPUOMLMJMHKFFAO78CA,1,22.50,共有部分,鋼筋混凝土造,103年8月29日,015
RPVOMLMJMHKFFAO88CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,六層
RPVOMLMJMHKFFAO88CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPVOMLMJMHKFFAO88CA,1,22.50,共有部分,鋼筋混凝土造,103年8月29日,015
RPWOMLMJMHKFFAO98CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,十一層
RPWOMLMJMHKFFAO98CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPWOMLMJMHKFFAO98CA,1,22.50,共有部分,鋼筋混凝土造,103年8月29日,015
RPOPMLMJMHKFFAO28CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,四層
RPOPMLMJMHKFFAO28CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPOPMLMJMHKFFAO28CA,1,22.77,共有部分,鋼筋混凝土造,103年8月29日,015
RPPPMLMJMHKFFAO38CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,五層
RPPPMLMJMHKFFAO38CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPPPMLMJMHKFFAO38CA,1,22.77,共有部分,鋼筋混凝土造,103年8月29日,015
RPQPMLMJMHKFFAO48CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,九層
RPQPMLMJMHKFFAO48CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPQPMLMJMHKFFAO48CA,1,22.77,共有部分,鋼筋混凝土造,103年8月29日,015
RPRPMLMJMHKFFAO58CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,十層
RPRPMLMJMHKFFAO58CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPRPMLMJMHKFFAO58CA,1,22.77,共有部分,鋼筋混凝土造,103年8月29日,015
RPVPMLMJMHKFFAO98CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,十二層
RPVPMLMJMHKFFAO98CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPVPMLMJMHKFFAO98CA,1,22.77,共有部分,鋼筋混凝土造,103年8月29日,015
RPVNMLMJMHKFFAO78CA,1,76.00,見其他登記事項,鋼筋混凝土造,103年8月29日,015,十五層
RPVNMLMJMHKFFAO78CA,1,19.89,共有部分,鋼筋混凝土造,103年8月29日,015
RPVNMLMJMHKFFAO78CA,1,51.72,共有部分,鋼筋混凝土造,103年8月29日,015
RPWNMLMJMHKFFAO88CA,1,68.60,見其他登記事項,鋼筋混凝土造,103年8月29日,015,八層
RPWNMLMJMHKFFAO88CA,1,50.36,共有部分,鋼筋混凝土造,103年8月29日,015
RPWNMLMJMHKFFAO88CA,1,17.95,共有部分,鋼筋混凝土造,103年8月29日,015
RPQRMLMJMHKFFAO68CA,1,64.09,見其他登記事項,鋼筋混凝土造,103年8月29日,015,三層
RPQRMLMJMHKFFAO68CA,1,86.91,共有部分,鋼筋混凝土造,103年8月29日,015
RPQRMLMJMHKFFAO68CA,1,16.98,共有部分,鋼筋混凝土造,103年8月29日,015
RPSNMLQJMHKFFAO88CA,20,75.90,住商用,鋼筋混凝土造,84年5月15日,005,一層 二層
RPSNMLQJMHKFFAO88CA,20,20.93,共有部分,鋼筋混凝土造,84年5月15日,005
RPQNMLRJMHKFFAO78CA,1,64.09,見其他登記事項,鋼筋混凝土造,103年8月29日,015,七層
RPQNMLRJMHKFFAO78CA,1,49.49,共有部分,鋼筋混凝土造,103年8月29日,015
RPQNMLRJMHKFFAO78CA,1,16.98,共有部分,鋼筋混凝土造,103年8月29日,015
RPSNMLRJMHKFFAO98CA,1,64.09,見其他登記事項,鋼筋混凝土造,103年8月29日,015,九層
RPSNMLRJMHKFFAO98CA,1,49.49,共有部分,鋼筋混凝土造,103年8月29日,015
RPSNMLRJMHKFFAO98CA,1,16.98,共有部分,鋼筋混凝土造,103年8月29日,015
RPUNMLRJMHKFFAO56CA,1,64.09,見其他登記事項,鋼筋混凝土造,103年8月29日,015,十四層
RPUNMLRJMHKFFAO56CA,1,49.49,共有部分,鋼筋混凝土造,103年8月29日,015
RPUNMLRJMHKFFAO56CA,1,16.98,共有部分,鋼筋混凝土造,103年8月29日,015
RPVNMLRJMHKFFAO66CA,1,85.92,見其他登記事項,鋼筋混凝土造,103年8月29日,015,五層
RPVNMLRJMHKFFAO66CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPVNMLRJMHKFFAO66CA,1,25.09,共有部分,鋼筋混凝土造,103年8月29日,015
RPXNMLRJMHKFFAO86CA,1,85.92,見其他登記事項,鋼筋混凝土造,103年8月29日,015,九層
RPXNMLRJMHKFFAO86CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPXNMLRJMHKFFAO86CA,1,25.09,共有部分,鋼筋混凝土造,103年8月29日,015
RPOOMLRJMHKFFAO68CA,1,85.92,見其他登記事項,鋼筋混凝土造,103年8月29日,015,十一層
RPOOMLRJMHKFFAO68CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPOOMLRJMHKFFAO68CA,1,25.09,共有部分,鋼筋混凝土造,103年8月29日,015
RPPOMLRJMHKFFAO78CA,1,85.92,見其他登記事項,鋼筋混凝土造,103年8月29日,015,十層
RPPOMLRJMHKFFAO78CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPPOMLRJMHKFFAO78CA,1,25.09,共有部分,鋼筋混凝土造,103年8月29日,015
RPSOMLRJMHKFFAO09CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,二層
RPSOMLRJMHKFFAO09CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPSOMLRJMHKFFAO09CA,1,22.12,共有部分,鋼筋混凝土造,103年8月29日,015
RPUOMLRJMHKFFAO66CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,三層
RPUOMLRJMHKFFAO66CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPUOMLRJMHKFFAO66CA,1,22.12,共有部分,鋼筋混凝土造,103年8月29日,015
RPWOMLRJMHKFFAO86CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,十三層
RPWOMLRJMHKFFAO86CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPWOMLRJMHKFFAO86CA,1,22.77,共有部分,鋼筋混凝土造,103年8月29日,015
RPVPMLTJMHKFFAO07CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,六層
