編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLLMLHKFFAR78CA,1,98.92,住家用,鋼筋混凝土造,103年10月16日,003,一層 二層 三層
RPQNMLNLLHKFFBR88CA,20,114.34,住家用,鋼筋混凝土造,83年9月9日,003,一層 二層 三層 屋頂突出物
RPUNMLTKLHKFFBR17CA,21,155.42,住商用,鋼筋混凝土造,83年3月4日,003,一層 二層 三層 屋頂突出物
RPUNMLTKLHKFFBR17CA,21,144.34,住商用,鋼筋混凝土造,83年3月4日,003,一層 二層 三層 屋頂突出物
RPPNMLSLLHKFFDR86CA,33,107.56,住家用,加強磚造,71年7月21日,002,一層 二層
RPPOMLRLLHKFFER96CA,69,61.32,住家用,木造,35年7月15日,001,一層
RPQNMLTKLHKFFFR17CA,21,146.81,住家用,鋼筋混凝土造,82年10月20日,003,一層 二層 三層
RPRNMLKLLHKFFFR09CA,3,199.22,商業用,見其他登記事項,101年4月19日,001,一層
RPVNMLTKLHKFFHR87CA,14,286.14,住家用,鋼筋混凝土造,89年12月28日,004,一層 二層 三層 四層
RPOOMLRKLHKFFHR07CA,15,96.32,住家用,鋼筋混凝土造,88年8月24日,014,三層
RPOOMLRKLHKFFHR07CA,15,14.35,共有部分,鋼筋混凝土造,88年8月24日,014
RPOOMLRKLHKFFHR07CA,15,17.23,共有部分,鋼筋混凝土造,88年8月24日,014
RPOOMLRKLHKFFHR07CA,15,2.37,共有部分,鋼筋混凝土造,88年8月24日,014
RPPOMLRKLHKFFHR17CA,28,121.61,住家用,鋼筋混凝土造,76年8月20日,002,一層 二層 騎樓
RPOOMLOLLHKFFHR86CA,19,69.30,住家用,鋼筋混凝土造,84年9月8日,019,十五層
RPOOMLOLLHKFFHR86CA,19,24.07,共有部分,鋼筋混凝土造,84年9月8日,019
RPWNMLOKMHKFFHR57CA,1,326.93,見其他登記事項,見其他登記事項,103年4月9日,004,一層 二層 三層 四層 屋頂突出物
RPVNMLQKLHKFFAD18DA,10,199.19,見其他登記事項,見其他登記事項,94年7月15日,004,一層 二層 三層 四層 屋頂突出物 見其他登記事項
RPWNMLQKLHKFFAD28DA,35,107.58,住家用,加強磚造,69年7月4日,002,一層 二層
RPUNMLNLLHKFFAD87DA,38,98.54,住家用,加強磚造,66年1月13日,002,一層 二層
RPVNMLRKLHKFFCD48DA,31,43.47,住家用,鋼筋混凝土構造,72年10月22日,007,六層
RPQOMLRKLHKFFCD08DA,42,78.98,住家用,加強磚造,61年11月14日,002,一層 二層
RPPNMLKKMHKFFDR78DA,24,557.97,住商用,鋼筋混凝土造,80年5月29日,004,一層 二層 三層 四層 騎樓
RPQNMLSKLHKFFER07DA,33,138.89,住商用,加強磚造,70年11月20日,002,一層 二層 騎樓
RPQNMLQKLHKFFHR17DA,21,88.68,住家用,鋼筋混凝土造,82年12月30日,009,四層
RPUNMLPLLHKFFHR57DA,33,59.41,住家用,鋼筋混凝土造,70年9月29日,005,五層
RPUNMLPLLHKFFHR57DA,33,9.38,共有部分,鋼筋混凝土造,70年9月29日,005
RPOOMLRKLHKFFBD87EA,3,261.97,住家用,鋼筋混凝土造,100年10月25日,004,一層 二層 三層 四層
RPUNMLRLLHKFFCD58EA,21,78.61,住家用,鋼筋混凝土構造,82年10月18日,007,三層
RPUNMLRLLHKFFCD58EA,21,23.72,共有部分,鋼筋混凝土構造,82年10月18日,007
RPQNMLSKLHKFFBR76DA,23,49.70,住家用,鋼筋混凝土造,81年3月12日,002,二層
RPPNMLTKLHKFFCR86DA,21,184.52,住商用,鋼筋混凝土造,83年3月7日,003,一層 二層 三層 屋頂突出物 騎樓
RPXNMLRKLHKFFDR57DA,1,196.34,住家用,鋼筋混凝土造,103年2月12日,004,一層 二層 三層 四層
RPPNMLSKLHKFFAR56DA,35,54.68,住商用,加強磚造,68年12月29日,002,一層 二層 騎樓
RPOOMLRKLHKFFCD87DA,22,81.24,住家用,鋼筋混凝土構造,82年8月2日,006,六層
RPOOMLRKLHKFFCD87DA,22,25.70,共有部分,鋼筋混凝土構造,82年8月2日,006
RPOOMLRKLHKFFCD87DA,22,82.54,住家用,鋼筋混凝土構造,82年8月2日,006,六層
RPOOMLRKLHKFFCD87DA,22,26.13,共有部分,鋼筋混凝土構造,82年8月2日,006
RPOOMLRKLHKFFCD87DA,22,13.97,共有部分,鋼筋混凝土構造,82年8月2日,006
RPQNMLQLLHKFFBD87DA,,169.48,見其他登記事項,鋼筋混凝土造,103年10月3日,004,一層 二層 三層 四層
RPRNMLQLLHKFFBD97DA,1,193.81,住家用,鋼筋混凝土造,102年11月22日,004,一層 二層 三層 四層
