編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPVNMLLJMHKFFAX07DA,二崁南段,1.96,都市：其他
RPVNMLLJMHKFFAX07DA,二崁南段,8.38,都市：其他
RPVNMLLJMHKFFAX07DA,二崁南段,47.41,都市：其他
RPRNMLQKMHKFFAX17CA,文光段,26.68,都市：住
RPRNMLQKMHKFFAX17CA,文光段,3.45,都市：住
RPPNMLLJMHKFFAX09DA,五德東段,444.58,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLLJMHKFFAX09DA,五德西段,87.04,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLLJMHKFFAX76DA,二崁南段,.20,都市：其他
RPSNMLLJMHKFFAX76DA,二崁南段,.20,都市：其他
RPPNMLLMLHKFFAX66DA,文寮段,1805.96,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLRJMHKFFAX57CA,興仁段,320.07,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLRJMHKFFAX57CA,興仁段,320.07,非都市：一般農業區 ; 非都市編定：農牧用地
RPQOMLKMLHKFFAX66CA,東衛段,108.18,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLRJMHKFFAX27CA,七美二段,2504.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLSJMHKFFAX17CA,隘門新段,209.54,非都市：一般農業區 ; 非都市編定：交通用地
RPQNMLSJMHKFFAX17CA,隘門新段,964.22,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLLJMHKFFAX09CA,竹篙灣段,616.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLOJMHKFFAX76CA,興崁段,942.05,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLLJMHKFFAX86DA,二崁南段,.20,都市：其他
RPTNMLLJMHKFFAX86DA,二崁南段,.20,都市：其他
