編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPTNMLNKMHKFFBC67CA,深美段,22.12,都市：住
RPTNMLNKMHKFFBC67CA,深美段,.01,都市：住
RPPNMLKLLHKFFCC07CA,大華段,46.39,都市：住
RPQNMLKLLHKFFCC17CA,新崙段,30.40,都市：住
RPRNMLKLLHKFFCC27CA,麥金段,18.04,都市：住
RPRNMLKLLHKFFCC27CA,麥金段,.52,都市：其他
RPSNMLKLLHKFFCC37CA,代天府段,20.75,都市：住
RPSNMLKLLHKFFCC37CA,代天府段,.32,都市：其他
RPSNMLKLLHKFFCC37CA,代天府段,.06,都市：住
RPSNMLKLLHKFFCC37CA,代天府段,.84,都市：住
RPOOMLNLLHKFFCC37CA,安國段,28.34,都市：住
RPUNMLKKMHKFFCC57CA,八德段,25.72,都市：住
RPROMLOKMHKFFCC77CA,新會段,13.97,都市：住
RPUNMLOLLHKFFCC18EA,新會段,41.15,都市：住
RPSNMLSKLHKFFBC08DA,東明段,.30,都市：其他
RPSNMLSKLHKFFBC08DA,東明段,27.79,都市：住
RPPNMLLLLHKFFBC17DA,港濱段,24.67,都市：住
RPQNMLKMLHKFFBC27DA,深澳段,32.41,都市：住
RPWNMLTJMHKFFCC58CA,金華段,23.13,都市：住
RPWNMLTJMHKFFCC58CA,金華段,1.66,都市：住
RPWNMLTJMHKFFCC58CA,金華段,2.67,都市：住
RPROMLNLLHKFFCC67CA,觀音段,28.19,都市：住
RPTOMLNLLHKFFCC87CA,代天府段,21.23,都市：其他
RPTOMLNLLHKFFCC87CA,代天府段,.13,都市：其他
RPTOMLNLLHKFFCC87CA,代天府段,.17,都市：住
RPTOMLNLLHKFFCC87CA,代天府段,.04,都市：其他
RPTOMLNLLHKFFCC87CA,代天府段,.00,都市：住
RPTOMLNLLHKFFCC87CA,代天府段,.08,都市：住
RPVNMLPLLHKFFCC18CA,新會段,22.26,都市：住
RPQOMLKLLHKFFCC27CA,源遠段,48.02,都市：住
RPROMLKLLHKFFCC37CA,五堵段五堵北小段,26.51,都市：住
RPTOMLKLLHKFFCC57CA,新會段,1.88,都市：其他
RPTOMLKLLHKFFCC57CA,新會段,6.54,都市：住
RPTOMLKLLHKFFCC57CA,新會段,.69,都市：其他
RPTOMLKLLHKFFCC57CA,新會段,.20,都市：住
RPTOMLKLLHKFFCC57CA,新會段,4.29,都市：其他
RPUOMLKLLHKFFCC67CA,麥金段,7.60,都市：住
RPUOMLKLLHKFFCC67CA,麥金段,.29,都市：住
RPUOMLKLLHKFFCC67CA,麥金段,.17,都市：住
RPUOMLKLLHKFFCC67CA,麥金段,.15,都市：其他
RPUOMLKLLHKFFCC67CA,麥金段,.01,都市：住
RPUOMLKLLHKFFCC67CA,麥金段,.01,都市：住
RPUOMLKLLHKFFCC67CA,麥金段,.00,都市：住
RPUOMLKLLHKFFCC67CA,麥金段,.00,都市：住
RPTNMLNLLHKFFCC77CA,代天府段,24.09,都市：其他
RPTNMLNLLHKFFCC77CA,代天府段,.15,都市：其他
RPTNMLNLLHKFFCC77CA,代天府段,.19,都市：住
RPTNMLNLLHKFFCC77CA,代天府段,.04,都市：其他
RPTNMLNLLHKFFCC77CA,代天府段,.00,都市：住
RPTNMLNLLHKFFCC77CA,代天府段,.10,都市：住
RPOOMLLMLHKFFBC17CA,延平段,23.25,都市：住
RPWNMLKMLHKFFBC77CA,深美段,21.48,都市：住
RPROMLMJMHKFFBC37CA,深澳坑段槓子寮小段,139.60,都市：住
RPSNMLTJMHKFFBC08CA,培德段,18.94,都市：住
RPTNMLPLLHKFFBC87CA,東明段,15.80,都市：商
RPTNMLPLLHKFFBC87CA,東明段,6.40,都市：商
RPUNMLPLLHKFFBC97CA,調和段,18.95,都市：住
RPPNMLSLLHKFFBC77CA,調和段,6.79,都市：其他
RPPNMLSLLHKFFBC77CA,調和段,.00,都市：其他
RPPNMLSLLHKFFBC77CA,調和段,.00,都市：住
RPQNMLNLLHKFFBC37CA,深澳坑段槓子寮小段,100.06,都市：住
RPPNMLOLLHKFFBC37CA,德厚段,1.17,都市：商
RPPNMLOLLHKFFBC37CA,德厚段,6.83,都市：商
RPRNMLNLLHKFFCC57CA,大華段,45.02,都市：住
RPQNMLOLLHKFFCC57CA,德安段,21.77,都市：住
RPQNMLOLLHKFFCC57CA,德安段,.21,都市：其他
RPQNMLOLLHKFFCC57CA,德安段,.06,都市：其他
RPQNMLOLLHKFFCC57CA,德安段,.04,都市：住
RPQNMLOLLHKFFCC57CA,德安段,.07,都市：其他
RPQNMLOLLHKFFCC57CA,德安段,.03,都市：其他
RPQNMLRJMHKFFCC77CA,源遠段,16.68,都市：住
RPWNMLRKMHKFFCC48CA,大武崙段武崙小段,205.00,都市：其他
RPPOMLOKMHKFFCC77EA,明德段,3748.85,都市：其他
RPPOMLOKMHKFFCC77EA,明德段,3.04,都市：其他
RPOOMLQLLHKFFBC67DA,深美段,6.89,都市：住
RPOOMLQLLHKFFBC67DA,深美段,.04,都市：其他
RPOOMLQLLHKFFBC67DA,深美段,.36,都市：住
RPOOMLQLLHKFFBC67DA,祥豐段,.06,都市：住
RPPNMLNKMHKFFCC37CA,源遠段,24.88,都市：住
RPRNMLOLLHKFFCC67CA,大德段,31.31,都市：住
RPTNMLOLLHKFFCC87CA,新會段,28.88,都市：住
RPPNMLPLLHKFFCC57CA,麥金段,19.64,都市：住
RPPNMLPLLHKFFCC57CA,麥金段,.57,都市：其他
RPUNMLPLLHKFFCC08CA,麥金段,48.36,都市：住
RPUNMLPLLHKFFCC08CA,麥金段,2.93,都市：住
RPQNMLKMLHKFFCC27CA,新崙段,706.77,都市：其他
RPQNMLKMLHKFFCC27CA,新崙段,116.75,都市：其他
RPXNMLRLLHKFFCC58CA,麥金段,13.67,都市：住
RPXNMLRLLHKFFCC58CA,麥金段,.40,都市：其他
RPPNMLNJMHKFFCC27CA,新崙段,186.10,都市：住
RPTNMLOLLHKFFBC77CA,調和段,8.40,都市：住
RPXNMLOLLHKFFBC18CA,東信段三小段,27.20,都市：住
RPRNMLQLLHKFFBC77CA,長潭段,1.37,都市：住
RPRNMLQLLHKFFBC77CA,長潭段,13.66,都市：住
RPSNMLQLLHKFFBC87CA,福祿段,17.40,都市：住
RPSNMLQLLHKFFBC87CA,福祿段,.40,都市：其他
RPSNMLQLLHKFFBC87CA,福祿段,6.20,都市：住
RPSNMLQLLHKFFBC87CA,福祿段,.80,都市：住
RPWNMLPLLHKFFBC18CA,調和段,23.07,都市：其他
RPWNMLPLLHKFFBC18CA,調和段,.01,都市：其他
RPWNMLPLLHKFFBC18CA,調和段,.01,都市：住
RPUNMLLJMHKFFBC47CA,中正段三小段,37.16,都市：住
RPUNMLLJMHKFFBC47CA,中正段三小段,9.61,都市：商
RPPNMLKMLHKFFBC07CA,調和段,1.70,都市：其他
RPPNMLKMLHKFFBC07CA,調和段,.00,都市：其他
RPPNMLKMLHKFFBC07CA,調和段,.00,都市：住
RPRNMLKMLHKFFBC27CA,福祿段,32.25,都市：住
RPRNMLKMLHKFFBC27CA,福祿段,.75,都市：其他
RPRNMLKMLHKFFBC27CA,福祿段,.45,都市：其他
RPTNMLKMLHKFFCC57CA,暖暖段東勢坑小段,47.64,都市：住
RPRNMLLMLHKFFCC47CA,新崙段,27.75,都市：其他
RPRNMLLMLHKFFCC47CA,新崙段,73.25,都市：住
RPSNMLNKMHKFFCC67CA,觀音段,25.30,都市：住
RPSNMLNKMHKFFCC67CA,觀音段,.50,都市：其他
RPSNMLNKMHKFFCC67CA,觀音段,5.20,都市：其他
RPTNMLNKMHKFFCC77CA,觀音段,25.30,都市：住
RPTNMLNKMHKFFCC77CA,觀音段,.50,都市：其他
RPTNMLNKMHKFFCC77CA,觀音段,5.20,都市：其他
RPSNMLOJMHKFFCC67CA,源遠段,54.66,都市：住
RPSNMLOJMHKFFCC67CA,源遠段,.11,都市：住
RPPOMLLJMHKFFBC17DA,德厚段,15.80,都市：住
RPXNMLPLLHKFFCC58EA,大德段,23.00,都市：住
RPXNMLPLLHKFFCC58EA,大德段,4.50,都市：其他
RPVNMLQLLHKFFBC28DA,忠義段四小段,5.10,都市：商
RPVNMLQLLHKFFBC28DA,忠義段四小段,.63,都市：商
RPWNMLKLMHKFFCC08EA,德育段,35.86,都市：住
RPWNMLKLMHKFFCC08EA,德育段,29.99,都市：住
RPWNMLKLMHKFFCC08EA,德育段,27.07,都市：其他
RPRNMLLJMHKFFCC47EA,榮華段,5.00,都市：住
RPRNMLLJMHKFFCC47EA,榮華段,7.00,都市：其他
RPUOMLMLMHKFFCC97CA,新崙段,289.44,都市：住
RPRNMLTJMHKFFCC08CA,長安段,35.42,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTJMHKFFCC08CA,長安段,26.44,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLLJMHKFFCC57CA,安國段,28.34,都市：住
RPPNMLQLLHKFFCC67CA,大華段,45.38,都市：住
RPRNMLQLLHKFFCC87CA,榮華段,10.60,都市：住
RPRNMLQLLHKFFCC87CA,榮華段,1.20,都市：商
RPRNMLQLLHKFFCC87CA,榮華段,.20,都市：其他
RPSNMLQLLHKFFCC97CA,大華段,47.25,都市：住
RPTNMLQLLHKFFCC08CA,大華段,47.25,都市：住
RPVNMLQLLHKFFCC28CA,麥金段,16.12,都市：住
RPVNMLQLLHKFFCC28CA,麥金段,.62,都市：住
RPVNMLQLLHKFFCC28CA,麥金段,.36,都市：住
RPVNMLQLLHKFFCC28CA,麥金段,.33,都市：其他
RPVNMLQLLHKFFCC28CA,麥金段,.03,都市：住
RPVNMLQLLHKFFCC28CA,麥金段,.02,都市：住
RPVNMLQLLHKFFCC28CA,麥金段,.00,都市：住
RPVNMLQLLHKFFCC28CA,麥金段,.00,都市：住
RPRNMLSKMHKFFBC97CA,長潭段,1.52,都市：住
RPRNMLSKMHKFFBC97CA,長潭段,15.24,都市：住
RPSNMLKMLHKFFBC37CA,調和段,22.06,都市：住
RPSNMLKMLHKFFBC37CA,調和段,.00,都市：住
RPQNMLTLLHKFFBC97CA,長潭段,22.39,都市：住
RPQNMLLMLHKFFBC27CA,長潭段,.55,都市：住
RPQNMLLMLHKFFBC27CA,長潭段,5.52,都市：住
RPUNMLLMLHKFFBC67CA,德厚段,31.51,都市：住
RPUNMLLMLHKFFBC67CA,德厚段,.04,都市：住
RPQNMLLJMHKFFCC17CA,武嶺段,28.30,都市：其他
RPQNMLLJMHKFFCC17CA,武嶺段,4.18,都市：其他
RPQNMLLJMHKFFCC17CA,武嶺段,10.83,都市：其他
RPXNMLKMLHKFFCC97CA,仁德段,21.70,都市：住
RPROMLLJMHKFFCC37CA,工建段,8.20,都市：住
RPRNMLOJMHKFFCC57CA,情人湖段,25.26,都市：住
