編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLSJMHKFFDM88CA,,129.99,商業用,見其他登記事項,103年10月31日,001,一層
RPPNMLSJMHKFFDM88CA,,103.05,商業用,見其他登記事項,103年10月31日,001,一層
RPSNMLQLLHKFFDM09CA,35,164.60,住商用,鋼筋混凝土造,69年7月21日,004,一層 二層 三層 四層
RPVNMLLMLHKFFCM88CA,38,51.15,住家用,磚造,65年8月24日,001,一層
RPUOMLRJMHKFFCM66CA,40,78.87,住家用,磚造,63年10月1日,001,一層
RPSNMLRJMHKFFBM88CA,1,340.23,住家用,鋼筋混凝土造,103年6月16日,004,一層 二層 三層 四層
RPPNMLQLLHKFFBM58CA,21,100.94,住家用,鋼筋混凝土造,83年4月11日,008,六層
RPPNMLQLLHKFFBM58CA,21,38.22,見其他登記事項,鋼筋混凝土造,83年4月11日,008
RPSNMLRLLHKFFBM98CA,21,185.41,住家用,鋼筋混凝土造,83年5月16日,004,一層 二層 三層 四層
RPVNMLSJMHKFFAM56CA,,107.31,農舍,見其他登記事項,103年12月17日,001,一層
RPXOMLKMLHKFFAM88CA,20,133.89,住家用,鋼筋混凝土造,83年9月30日,003,一層 二層 三層 夾層
RPTNMLKMLHKFFAM38CA,1,194.96,見其他登記事項,鋼筋混凝土造,103年12月19日,003,一層 二層 三層 屋頂突出物
RPUNMLKMLHKFFAM48CA,1,220.63,見其他登記事項,鋼筋混凝土造,103年12月19日,003,一層 二層 三層 屋頂突出物
RPVNMLKMLHKFFAM58CA,1,204.57,見其他登記事項,鋼筋混凝土造,103年12月19日,003,一層 二層 三層 屋頂突出物
RPWNMLKMLHKFFAM68CA,1,177.47,見其他登記事項,鋼筋混凝土造,103年12月19日,003,一層 二層 三層 屋頂突出物
RPXNMLKMLHKFFAM78CA,1,177.47,見其他登記事項,鋼筋混凝土造,103年12月19日,003,一層 二層 三層 屋頂突出物
RPSOMLKMLHKFFAM38CA,1,202.62,見其他登記事項,鋼筋混凝土造,103年12月19日,003,一層 二層 三層 屋頂突出物
RPOOMLKKMHKFFAM87CA,35,82.74,住家用,鋼筋混凝土加強磚造,69年1月10日,002,一層 二層
RPUNMLRLLHKFFBM56CA,2,229.98,住家用,鋼筋混凝土造,102年8月9日,004,一層 二層 三層 四層
RPQNMLMJMHKFFBM18CA,16,154.24,住家用,鋼筋混凝土造,88年1月27日,003,一層 二層 三層 屋頂突出物
RPPNMLOKMHKFFBM38CA,29,216.69,見其他登記事項,鋼筋混凝土造,75年6月13日,003,一層 二層 三層 騎樓
RPUPMLMJMHKFFCM88CA,27,196.21,見其他登記事項,鋼筋混凝土造,77年6月11日,002,一層 二層 騎樓
RPQNMLQLLHKFFDM88CA,33,91.40,住商用,加強磚造,70年10月23日,002,一層 二層
RPQNMLLMLHKFFCM48DA,21,216.52,住家用,鋼筋混凝土造,82年11月15日,004,一層 二層 三層 四層
RPPNMLKMLHKFFDM28CA,38,119.88,住家用,磚造,65年9月15日,001,一層 騎樓
RPUNMLQKMHKFFCM56CA,4,191.74,住家用,鋼筋混凝土造,100年7月18日,004,一層 二層 三層 四層
RPPOMLOKMHKFFCM58CA,19,87.02,見其他登記事項,鋼筋混凝土造,84年10月2日,007,三層
RPPOMLOKMHKFFCM58CA,19,26.17,見其他登記事項,鋼筋混凝土造,84年10月2日,007
RPQNMLLLMHKFFBM28CA,2,202.35,住家用,鋼筋混凝土造,102年4月11日,004,一層 二層 三層 四層
RPPNMLMLMHKFFBM28CA,2,251.93,住家用,鋼筋混凝土造,102年5月28日,004,一層 二層 三層 四層
RPQNMLLMLHKFFBM28CA,18,126.60,住家用,鋼筋混凝土造,86年6月30日,003,一層 二層 三層
RPQNMLLMLHKFFBM28CA,18,.18,見其他登記事項,鋼筋混凝土造,86年6月30日,001
RPQNMLLMLHKFFBM28CA,18,37.13,停車空間,鋼筋混凝土造,86年6月30日,B00
RPPOMLLJMHKFFAM97CA,23,83.92,住家用,鋼筋混凝土造,81年8月5日,005,五層
RPTOMLKMLHKFFAM48CA,1,202.43,見其他登記事項,鋼筋混凝土造,103年12月19日,003,一層 二層 三層 屋頂突出物
RPVOMLKMLHKFFAM68CA,,202.43,見其他登記事項,鋼筋混凝土造,103年12月19日,003,一層 二層 三層 屋頂突出物
RPWOMLKMLHKFFAM78CA,1,202.43,見其他登記事項,鋼筋混凝土造,103年12月19日,003,一層 二層 三層 屋頂突出物
RPOOMLKMLHKFFAM97CA,32,135.60,住商用,鋼筋混凝土加強磚造,71年11月1日,002,一層 二層 騎樓
RPPNMLTLLHKFFAM78CA,22,119.42,住家用,鋼筋混凝土造,82年2月1日,003,一層 二層 三層 騎樓
RPQOMLLJMHKFFAM08CA,,171.53,見其他登記事項,鋼筋混凝土造,103年10月23日,004,一層 二層 三層 四層
RPQOMLLJMHKFFAM08CA,,.31,住家用,鋼筋混凝土造,103年10月23日,001,一層
RPROMLLJMHKFFAM18CA,,270.62,見其他登記事項,鋼筋混凝土造,103年10月23日,004,一層 二層 三層 四層 見其他登記事項
RPROMLLJMHKFFAM18CA,,.56,住家用,鋼筋混凝土造,103年10月23日,001,一層
RPQNMLMJMHKFFAM08CA,23,137.70,住家用,鋼筋混凝土造,81年6月1日,003,一層 二層 三層
RPSNMLKLMHKFFAM28CA,21,98.47,住家用,鋼筋混凝土造,82年12月8日,010,五層
RPSNMLKLMHKFFAM28CA,21,18.62,見其他登記事項,鋼筋混凝土造,82年12月8日,010
RPSNMLKLMHKFFAM28CA,21,.53,住家用,鋼筋混凝土造,82年12月8日,010,地下層
RPSNMLKLMHKFFAM28CA,21,14.13,見其他登記事項,鋼筋混凝土造,82年12月8日,010
RPTNMLNKMHKFFAM58CA,12,160.17,住家用,鋼筋混凝土造,92年4月22日,003,一層 二層 三層 屋頂突出物
RPOOMLQKMHKFFAM48CA,18,315.13,農舍,見其他登記事項,86年4月15日,001,一層
RPTOMLQKMHKFFAM98CA,,187.70,住家用,鋼筋混凝土造,103年12月4日,,一層 二層 三層 四層 屋頂突出物
RPQNMLQJMHKFFCM68CA,,294.48,住家用,鋼筋混凝土造,103年12月26日,004,一層 二層 三層 四層
RPRNMLQJMHKFFCM78CA,,294.48,住家用,鋼筋混凝土造,103年12月26日,004,一層 二層 三層 四層
RPQNMLMJMHKFFCM28CA,21,81.78,見其他登記事項,鋼筋混凝土造,83年1月14日,011,七層
RPQNMLMJMHKFFCM28CA,21,19.60,見其他登記事項,鋼筋混凝土造,83年1月14日,011
RPUNMLLJMHKFFAM48DA,21,194.86,住家用,鋼筋混凝土造,82年12月3日,003,一層 二層 三層 屋頂突出物
RPQNMLRJMHKFFCM88DA,16,51.41,見其他登記事項,鋼筋混凝土造,87年12月31日,008,六層
RPQNMLRJMHKFFCM88DA,16,22.28,見其他登記事項,鋼筋混凝土造,87年12月31日,008
RPVNMLMJMHKFFDM88CA,45,234.90,住商用,見其他登記事項,59年6月24日,003,一層 二層 三層 騎樓
RPQNMLOKMHKFFBM48CA,7,15.00,農舍,見其他登記事項,97年7月22日,001,一層
RPXOMLQKMHKFFAM76CA,,187.70,見其他登記事項,鋼筋混凝土造,103年12月4日,004,一層 二層 三層 四層 屋頂突出物
RPROMLKKMHKFFAM18CA,21,80.39,住家用,鋼筋混凝土造,83年9月8日,005,三層
RPROMLKKMHKFFAM18CA,21,4.34,見其他登記事項,鋼筋混凝土造,83年9月8日,005
RPPNMLQJMHKFFBM48CA,34,102.66,住商用,鋼筋混凝土造,70年1月29日,002,一層 二層 騎樓
RPTNMLLMLHKFFBM58CA,39,122.04,住商用,鋼筋混凝土加強磚造,65年4月12日,002,一層 二層 騎樓
RPOOMLLJMHKFFAM87CA,1,183.92,住家用,鋼筋混凝土造,103年1月22日,003,一層 二層 三層
RPTNMLLJMHKFFAM28CA,22,84.85,住家用,鋼筋混凝土造,82年1月4日,008,六層
