鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中山區,房地(土地+建物),臺北市中山區新生北路三段88巷1~30號,32.32,商,,,10401,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751119,142.31,4,1,2,有,無,19200000,134917,,0.0,0,所有權人共二人,陽台及頂樓增建。,RPUQMLQKLHKFFCA18CA
中山區,房地(土地+建物)+車位,臺北市中山區南京東路二段181~210號,27.14,商,,,10401,土地2建物1車位2,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990528,314.66999999999996,4,2,3,有,有,110020000,349636,坡道機械,0.0,0,,RPXNMLRKLHKFFCA28CA
中山區,房地(土地+建物),臺北市中山區南京東路二段1~30號,61.25,商,,,10308,土地1建物1車位0,十一層，電梯樓梯間,11,辦公商業大樓,商業用,鋼筋混凝土造,,489.22,10,2,1,有,有,103000000,210539,,0.0,0,,RPOOMLRKLHKFFCA47CA
中山區,車位,臺北市中山區復興南路一段31~60號,0.01,商,,,10403,土地0建物0車位1,一層,15,其他,商業用,鋼筋混凝土造,0960710,5.09,0,0,0,有,有,1000000,,升降機械,5.09,1000000,,RPTNMLSKLHKFFCA97CA
中山區,房地(土地+建物),臺北市中山區雙城街19巷1~30號,3.54,商,,,10402,土地2建物1車位0,三層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970312,34.0,2,1,1,有,有,6950000,204412,,0.0,0,含增建或未登記建物。,RPPPMLTKLHKFFCA87CA
內湖區,車位,臺北市內湖區民權東路六段296巷31~60號,1.39,住,,,10403,土地0建物0車位2,地下三層,9,其他,停車空間,鋼筋混凝土造,0970408,41.07,0,0,0,有,有,1450000,,坡道機械,41.07,1450000,,RPWOMLRKLHKFFCA28CA
中山區,房地(土地+建物),臺北市中山區建國北路二段31~60號,9.7,住,,,10402,土地5建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770524,78.32,1,1,1,有,有,16360000,208887,,0.0,0,,RPTOMLKLLHKFFCA37CA
中山區,房地(土地+建物),臺北市中山區松江路46巷1~30號,20.5,住,,,10401,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0591105,59.54,3,1,1,有,無,13920000,233792,,0.0,0,,RPQRMLKLLHKFFCA37CA
內湖區,房地(土地+建物),臺北市內湖區文德路66巷32弄1~30號,40.46,住,,,10311,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0730207,117.95,3,2,2,有,無,7000000,59347,,0.0,0,父子買賣,RPPNMLMLLHKFFCA07CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段218巷31~60號,25.02,商,,,10312,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031003,178.39,3,2,2,有,有,31960000,179342,升降機械,10.22,1800000,,RPOQMLOLLHKFFCA47CA
