編號,車位類別,車位價格,車位面積平方公尺
RPQNMLKLLHKFFBE27CA,坡道平面,0,21.57
RPTNMLKKMHKFFBE57CA,坡道平面,0,19.14
RPTNMLKKMHKFFBE57CA,坡道平面,0,19.14
RPTNMLKKMHKFFBE57CA,坡道平面,0,19.14
RPQNMLKMLHKFFBE37CA,升降平面,0,
RPRPMLKLLHKFFCE67CA,坡道平面,0,
RPRNMLOLLHKFFCE87CA,其他,0,
RPTNMLSJMHKFFCE38CA,升降機械,600000,6.37
RPUNMLSJMHKFFCE48CA,升降機械,600000,6.37
RPTNMLKLLHKFFDE77CA,坡道平面,0,23.29
RPPNMLMLLHKFFDE57CA,坡道平面,0,
RPOPMLSKLHKFFDE18CA,坡道平面,0,23.72
RPRNMLNLLHKFFDE87CA,坡道平面,0,27.45
RPXOMLOLLHKFFDE68CA,坡道平面,0,27.02
RPSNMLPKMHKFFCE08CA,坡道平面,0,
RPWNMLTKLHKFFEE98CA,坡道平面,0,23.17
RPWOMLKLLHKFFEE28CA,坡道平面,0,
RPTNMLKLLHKFFEE87CA,坡道平面,0,10.36
RPUNMLKLLHKFFEE97CA,坡道平面,0,10.36
RPWNMLMLLHKFFEE38CA,坡道平面,0,
RPQNMLQKMHKFFEE18CA,坡道機械,820000,16.71
RPSNMLOKMHKFFEE18CA,坡道平面,0,
RPTNMLOKMHKFFEE28CA,坡道平面,0,
RPUNMLOKMHKFFEE38CA,坡道平面,0,
RPUNMLOKMHKFFEE38CA,坡道平面,0,
RPWNMLLJMHKFFEE18CA,坡道機械,0,
RPQNMLTKLHKFFGE58CA,坡道平面,0,
RPRNMLTKLHKFFGE68CA,一樓平面,0,
RPSNMLKMLHKFFIE28CA,坡道平面,0,
RPSNMLKMLHKFFIE28CA,坡道平面,0,
RPPNMLRJMHKFFIE48CA,坡道平面,0,36.50
RPQNMLRJMHKFFIE58CA,坡道平面,0,36.50
RPUNMLNKMHKFFIE68CA,坡道平面,0,
RPTNMLRJMHKFFIE88CA,坡道平面,0,33.08
RPQNMLLLLHKFFFE87DA,一樓平面,0,
RPSNMLKLLHKFFLE48CA,坡道平面,0,
RPSOMLNKMHKFFGE38CA,坡道平面,0,27.76
RPVNMLQKMHKFFGE88CA,坡道平面,0,
RPWNMLQKMHKFFGE98CA,坡道平面,0,
RPVNMLRLLHKFFGE98CA,坡道平面,0,27.25
RPUOMLTKLHKFFGE09CA,坡道平面,0,23.44
RPVOMLTKLHKFFGE56CA,坡道平面,0,25.58
RPWNMLMJMHKFFEE28CA,坡道平面,0,
RPWOMLSJMHKFFEE98CA,坡道平面,1200000,26.53
RPXOMLSJMHKFFEE09CA,坡道機械,950000,13.36
RPOOMLLKMHKFFEE57CA,坡道機械,0,18.67
RPPOMLLKMHKFFEE67CA,坡道平面,0,26.11
RPQOMLLKMHKFFEE77CA,坡道平面,0,22.57
RPROMLLKMHKFFEE87CA,坡道機械,0,18.67
RPSOMLLKMHKFFEE97CA,坡道機械,0,18.67
RPUNMLLKMHKFFEE08CA,坡道平面,0,
RPOOMLMLLHKFFEE67CA,坡道平面,0,
RPQNMLRKMHKFFDE18CA,坡道平面,0,
RPRNMLRKMHKFFDE28CA,坡道平面,0,
RPSNMLRKMHKFFDE38CA,坡道平面,0,
RPTNMLRKMHKFFDE48CA,坡道平面,0,
RPUNMLRKMHKFFDE58CA,坡道平面,0,
RPVNMLRKMHKFFDE68CA,坡道平面,0,
RPWNMLRKMHKFFDE78CA,坡道平面,0,
RPXNMLRKMHKFFDE88CA,坡道平面,0,
RPQOMLNKMHKFFDE87CA,坡道平面,0,
RPQOMLNKMHKFFDE87CA,坡道平面,0,
RPPOMLRLLHKFFDE18CA,坡道機械,0,
RPVNMLQLLHKFFDE58CA,坡道平面,0,26.34
RPXNMLPLLHKFFDE68CA,坡道機械,0,
RPTNMLPLLHKFFDE28CA,坡道機械,0,
RPPNMLMJMHKFFCE37CA,坡道平面,0,
RPTPMLKLLHKFFCE87CA,坡道平面,0,15.13
RPXOMLKLLHKFFCE18CA,坡道平面,0,
RPPNMLQKMHKFFBE77CA,坡道平面,580000,13.32
RPQNMLQKMHKFFBE87CA,坡道平面,600000,13.32
RPVNMLRLLHKFFBE48CA,坡道機械,0,
RPUOMLLJMHKFFBE77CA,坡道平面,1600000,31.06
RPUNMLNLLHKFFBE97CA,升降平面,0,
RPSPMLRKMHKFFAE28CA,坡道機械,0,11.24
RPOOMLKMLHKFFAE17CA,升降機械,0,9.99
RPWOMLLMLHKFFAE08CA,坡道機械,0,
RPXNMLTKLHKFFAE68CA,坡道平面,0,26.54
RPSNMLQLLHKFFAE97CA,坡道平面,0,26.17
RPSNMLOKMHKFFAE77CA,坡道平面,0,
RPQOMLNKMHKFFAE57CA,坡道平面,0,
RPVOMLLMLHKFFAE97CA,坡道平面,0,13.04
RPXOMLRJMHKFFAE58CA,坡道平面,0,38.22
RPXNMLKMLHKFFBE08CA,坡道平面,0,
RPPNMLRLLHKFFBE87CA,坡道平面,0,12.65
RPSOMLSJMHKFFBE28CA,升降機械,370000,
RPXNMLPLLHKFFCE58CA,坡道平面,0,
RPVNMLPLLHKFFCE38CA,坡道平面,0,
RPVNMLPLLHKFFCE38CA,坡道平面,0,
RPXNMLRLLHKFFCE78CA,坡道平面,0,35.50
RPRNMLSJMHKFFCE18CA,升降機械,650000,6.37
RPSNMLSJMHKFFCE28CA,升降機械,550000,6.37
RPVNMLNKMHKFFCE18CA,坡道機械,0,
RPTNMLPKMHKFFCE18CA,坡道機械,0,
RPUNMLPKMHKFFCE28CA,坡道平面,0,35.55
RPSNMLQLLHKFFDE28CA,坡道平面,0,
RPSOMLRLLHKFFDE48CA,坡道平面,0,18.22
RPSOMLRLLHKFFDE48CA,坡道平面,0,18.22
RPPOMLLJMHKFFDE47CA,坡道平面,0,19.29
RPQOMLLJMHKFFDE57CA,坡道機械,0,11.71
RPROMLLJMHKFFDE67CA,坡道平面,0,19.29
RPQNMLMKMHKFFDE67CA,坡道平面,0,
RPUNMLPKMHKFFDE38CA,坡道平面,0,
RPUNMLRJMHKFFDE48CA,坡道平面,0,15.16
RPWNMLRJMHKFFDE68CA,坡道平面,0,19.29
RPPOMLRJMHKFFDE08CA,坡道平面,0,19.29
RPOPMLKLLHKFFEE57CA,坡道平面,0,15.00
RPQNMLKMLHKFFEE67CA,坡道平面,0,29.92
RPVOMLNKMHKFFGE68CA,坡道機械,0,
RPPNMLRLLHKFFLE88CA,坡道機械,0,
RPPNMLKLMHKFFCE47DA,坡道平面,0,
RPPNMLKLMHKFFCE47DA,坡道平面,0,
RPSNMLLKMHKFFGE08CA,坡道平面,0,22.35
RPTNMLLKMHKFFGE18CA,坡道平面,0,26.03
RPUNMLLKMHKFFGE28CA,坡道平面,0,22.35
RPRNMLTJMHKFFGE68CA,坡道平面,1100000,43.91
RPQPMLLMLHKFFGE18CA,坡道平面,1200000,43.91
RPPOMLLJMHKFFGE77CA,坡道平面,0,23.00
RPSNMLQLLHKFFGE58CA,坡道機械,0,
RPTNMLOLLHKFFGE48CA,坡道平面,0,23.13
RPVNMLOLLHKFFGE68CA,坡道平面,0,
RPRQMLLMLHKFFEE18CA,坡道平面,0,
RPTQMLMJMHKFFEE28CA,坡道機械,0,14.05
RPXNMLSJMHKFFEE98CA,坡道平面,0,
RPOQMLQKMHKFFEE28CA,坡道平面,0,
RPSNMLKLMHKFFEE87CA,坡道平面,0,20.02
RPSNMLKLMHKFFEE87CA,坡道平面,0,20.02
RPSNMLKLMHKFFEE87CA,坡道平面,0,20.02
RPUNMLKLMHKFFEE08CA,坡道平面,0,20.02
RPUNMLKLMHKFFEE08CA,坡道平面,0,20.02
RPWNMLKLMHKFFEE28CA,坡道平面,0,20.02
RPWNMLKLMHKFFEE28CA,坡道平面,0,16.89
RPXNMLKLMHKFFEE38CA,坡道平面,0,20.02
RPXNMLKLMHKFFEE38CA,坡道平面,0,20.02
RPOOMLKLMHKFFEE57CA,坡道平面,0,16.89
RPOOMLKLMHKFFEE57CA,坡道平面,0,16.89
RPPOMLKLMHKFFEE67CA,坡道平面,0,16.89
RPPOMLKLMHKFFEE67CA,坡道平面,0,27.74
RPQOMLKLMHKFFEE77CA,坡道平面,0,16.89
RPQOMLKLMHKFFEE77CA,坡道平面,0,20.02
RPVOMLKLMHKFFEE28CA,坡道平面,0,20.02
RPVOMLKLMHKFFEE28CA,坡道平面,0,20.02
RPXNMLRLLHKFFEE98CA,坡道平面,950000,17.40
RPOOMLRLLHKFFEE18CA,坡道平面,1050000,19.11
RPOSMLQLLHKFFEE48CA,坡道機械,0,20.56
RPQSMLQLLHKFFEE68CA,坡道平面,240000,7.44
RPVOMLLMLHKFFEE38CA,其他,0,
RPPNMLSLLHKFFEE28CA,坡道機械,0,
RPTOMLNLLHKFFEE28CA,坡道平面,0,13.84
RPSOMLOLLHKFFEE28CA,坡道平面,0,
RPWOMLOLLHKFFEE68CA,坡道平面,0,17.09
RPQOMLSJMHKFFDE28CA,坡道平面,0,
RPVNMLPKMHKFFDE48CA,坡道平面,0,
RPTNMLOKMHKFFDE18CA,坡道平面,0,
RPUNMLOKMHKFFDE28CA,坡道平面,0,
RPVNMLOKMHKFFDE38CA,坡道平面,0,
RPWNMLOKMHKFFDE48CA,坡道平面,0,
RPQNMLLMLHKFFDE67CA,坡道平面,0,
RPRNMLLMLHKFFDE77CA,坡道平面,0,
RPVOMLRLLHKFFDE78CA,坡道平面,0,19.32
RPQOMLPLLHKFFDE08CA,坡道平面,0,
RPVOMLRKMHKFFAE48CA,坡道平面,0,
RPPOMLQKMHKFFAE77CA,坡道機械,0,
RPWOMLRJMHKFFAE48CA,坡道平面,0,16.49
RPQOMLKKMHKFFAE27CA,坡道平面,0,38.22
RPVNMLKKMHKFFAE67CA,坡道平面,0,18.78
RPUOMLRLLHKFFAE38CA,坡道平面,0,23.84
RPPOMLLMLHKFFAE37CA,坡道平面,0,
RPXNMLLJMHKFFAE87CA,坡道平面,0,
RPXNMLLMLHKFFAE08CA,坡道平面,2450000,23.17
RPXNMLLMLHKFFAE08CA,坡道平面,2450000,23.17
RPSNMLLMLHKFFAE57CA,坡道平面,0,19.52
RPUNMLKMLHKFFAE67CA,坡道機械,0,6.63
RPRNMLSLLHKFFAE08CA,坡道平面,0,
RPRNMLSLLHKFFAE08CA,坡道機械,0,
RPWNMLKKMHKFFAE77CA,坡道平面,0,26.87
RPVNMLTJMHKFFAE48CA,坡道平面,728000,9.25
RPUNMLLLMHKFFAE77CA,坡道平面,0,
RPQNMLNKMHKFFCE67CA,坡道機械,0,13.00
RPTOMLOLLHKFFEE38CA,坡道平面,0,23.73
RPVNMLLMLHKFFEE28CA,坡道機械,0,11.24
RPSPMLRLLHKFFEE68CA,坡道平面,0,25.37
RPSPMLRLLHKFFEE68CA,坡道平面,0,25.37
RPTPMLRLLHKFFEE78CA,坡道平面,0,25.37
RPOPMLKLMHKFFEE67CA,坡道平面,0,20.02
RPOPMLKLMHKFFEE67CA,坡道平面,0,20.02
RPOPMLKLMHKFFEE67CA,坡道平面,0,20.02
RPPPMLKLMHKFFEE77CA,坡道平面,0,20.02
RPPPMLKLMHKFFEE77CA,坡道平面,0,16.89
RPQPMLKLMHKFFEE87CA,坡道平面,0,20.02
RPQPMLKLMHKFFEE87CA,坡道平面,0,16.89
RPTPMLKLMHKFFEE18CA,坡道機械,0,
RPROMLKLMHKFFEE87CA,坡道平面,0,20.02
RPROMLKLMHKFFEE87CA,坡道平面,0,20.02
RPSOMLKLMHKFFEE97CA,坡道平面,0,20.02
RPSOMLKLMHKFFEE97CA,坡道平面,0,20.02
RPTOMLKLMHKFFEE08CA,坡道平面,0,20.02
RPTOMLKLMHKFFEE08CA,坡道平面,0,20.02
RPTOMLKLMHKFFEE08CA,坡道平面,0,20.02
RPUOMLKLMHKFFEE18CA,坡道平面,0,20.02
RPUOMLKLMHKFFEE18CA,坡道平面,0,20.02
RPWNMLOKMHKFFEE58CA,坡道機械,0,
RPOOMLOKMHKFFEE87CA,坡道平面,0,
RPXPMLQKMHKFFEE09CA,坡道機械,0,
RPVNMLMJMHKFFEE18CA,坡道機械,0,
RPOOMLPLLHKFFGE18CA,坡道平面,0,21.79
RPVNMLLKMHKFFGE38CA,坡道平面,0,26.03
RPWNMLLKMHKFFGE48CA,坡道平面,0,22.35
RPROMLKKMHKFFGE97CA,坡道平面,0,
RPXNMLOKMHKFFGE88CA,坡道機械,0,
RPPNMLOKMHKFFLE58CA,一樓平面,0,
RPUOMLRKMHKFFGE09DA,一樓平面,0,
RPSOMLQLLHKFFAE18DA,坡道平面,0,
RPPNMLSLLHKFFAE97DA,坡道機械,0,9.89
RPOOMLLMLHKFFGE08EA,坡道平面,0,
RPRNMLRJMHKFFIE68CA,坡道平面,0,33.08
RPSNMLRJMHKFFIE78CA,坡道平面,0,33.08
RPUNMLRLLHKFFGE88CA,坡道平面,0,23.84
RPXNMLRLLHKFFGE56CA,坡道平面,0,23.84
RPWNMLQLLHKFFGE98CA,坡道平面,0,16.58
RPOOMLQLLHKFFGE28CA,坡道平面,0,16.58
RPPOMLQLLHKFFGE38CA,坡道平面,0,23.13
RPUOMLQLLHKFFGE88CA,一樓平面,0,
RPUNMLLJMHKFFEE97CA,坡道平面,1200000,22.40
RPVNMLLKMHKFFEE18CA,坡道平面,0,
RPPOMLKLMHKFFDE57CA,坡道平面,0,23.83
RPRNMLLLMHKFFDE77CA,坡道平面,0,
RPQNMLNLMHKFFDE87CA,坡道平面,0,
RPQNMLNLMHKFFDE87CA,坡道平面,0,
RPQNMLNJMHKFFDE67CA,坡道平面,0,
RPRNMLSLLHKFFDE38CA,坡道平面,0,
