鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
西嶼鄉,土地,二崁南段421~450地號,11.78,其他,,,10403,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44177,3750,,0.0,0,「二崁傳統聚落特定區計畫」公園用地北側計畫道路協議價購(3,750元/m2),RPOOMLKMLHKFFAX56DA
馬公市,土地,山水北段241~270地號,383.71,,一般農業區,農牧用地,10403,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,5994,,0.0,0,,RPSNMLRJMHKFFAX27CA
馬公市,土地,五德西段1~30地號,1130.94,,風景區,農牧用地,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9350000,8267,,0.0,0,,RPUNMLRLLHKFFAX57CA
馬公市,土地,興崁段1081~1110地號,381.25,,一般農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1072500,2813,,0.0,0,,RPSNMLKMLHKFFAX76CA
馬公市,土地,東衛段781~810地號,766.06,,一般農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9260000,12088,,0.0,0,,RPTNMLRLLHKFFAX47CA
馬公市,房地(土地+建物),澎湖縣馬公巿林森路87巷1~30號,37.47,住,,,10403,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強空心磚造,0640724,43.6,4,2,5,有,無,4450000,102064,,0.0,0,,RPQNMLLMLHKFFAX66CA
西嶼鄉,土地,二崁南段421~450地號,0.39,其他,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1476,0,,0.0,0,「二崁傳統聚落特定區計畫」公園用地北側計畫道路協議價購(3,750元/m2),RPPOMLKMLHKFFAX66DA
湖西鄉,土地,隘門新段1111~1140地號,897.31,,一般農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3250000,3622,,0.0,0,,RPRNMLLMLHKFFAX86DA
西嶼鄉,土地,橫礁段601~630地號,708.0,,風景區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2953000,4171,,0.0,0,,RPPNMLKMLHKFFAX56DA
馬公市,土地,馬公段1321~1350地號,71.0,商,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,42254,,0.0,0,,RPQNMLKMLHKFFAX66DA
馬公市,土地,五福段871~900地號,408.7,,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3895000,9530,,0.0,0,,RPQNMLQKMHKFFAX07CA
西嶼鄉,土地,二崁南段421~450地號,57.75,其他,,,10403,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,216563,3750,,0.0,0,「二崁傳統聚落特定區計畫」公園用地北側計畫道路協議價購(3,750元/m2),RPVNMLLJMHKFFAX07DA
馬公市,房地(土地+建物),澎湖縣馬公巿三多路331~360號,30.13,住,,,10401,土地2建物1車位0,五層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950710,185.13,3,2,2,有,有,4600000,24847,,0.0,0,,RPRNMLQKMHKFFAX17CA
馬公市,土地,五德東段841~870地號,531.62,,一般農業區,農牧用地,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2412000,4537,,0.0,0,,RPPNMLLJMHKFFAX09DA
西嶼鄉,土地,二崁南段421~450地號,0.39,其他,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1476,0,,0.0,0,「二崁傳統聚落特定區計畫」公園用地北側計畫道路協議價購(3,750元/m2),RPSNMLLJMHKFFAX76DA
馬公市,土地,文寮段31~60地號,1805.96,,一般農業區,農牧用地,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14913000,8258,,0.0,0,,RPPNMLLMLHKFFAX66DA
馬公市,土地,興仁段1351~1380地號,640.14,,一般農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,1875,,0.0,0,,RPVNMLRJMHKFFAX57CA
馬公市,房地(土地+建物)+車位,澎湖縣馬公巿東衛181~210號,108.18,,鄉村區,乙種建築用地,10403,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,0841230,207.19,3,3,4,有,無,6200000,29924,一樓平面,0.0,0,,RPQOMLKMLHKFFAX66CA
七美鄉,土地,七美二段751~780地號,2504.0,,一般農業區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9084000,3628,,0.0,0,,RPROMLRJMHKFFAX27CA
湖西鄉,土地,隘門新段31~60地號,1173.76,,一般農業區,農牧用地,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,3237,,0.0,0,,RPQNMLSJMHKFFAX17CA
西嶼鄉,土地,竹篙灣段2071~2100地號,616.0,,一般農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,2273,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLLJMHKFFAX09CA
馬公市,土地,興崁段1141~1170地號,942.05,,一般農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,2866,,0.0,0,,RPQNMLOJMHKFFAX76CA
西嶼鄉,土地,二崁南段421~450地號,0.39,其他,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1476,0,,0.0,0,「二崁傳統聚落特定區計畫」公園用地北側計畫道路協議價購(3,750元/m2),RPTNMLLJMHKFFAX86DA
