編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLQKLHKFFBC18CA,29,71.16,商業用,鋼筋混凝土造,74年11月26日,005,一層 騎樓
RPWNMLQKLHKFFBC18CA,29,6.44,共用部份,鋼筋混凝土造,74年11月26日,005
RPQNMLRKLHKFFBC67CA,19,91.52,住家用,鋼筋混凝土造,85年5月21日,005,二層
RPQNMLRKLHKFFBC67CA,19,2.66,共用部份,鋼筋混凝土造,85年5月21日,005
RPQNMLRKLHKFFBC67CA,19,5.68,共用部份,鋼筋混凝土造,85年5月21日,005
RPRNMLRKLHKFFBC77CA,16,91.32,住家用,鋼筋混凝土造,88年1月14日,015,四層
RPRNMLRKLHKFFBC77CA,16,15.19,共用部份,鋼筋混凝土造,88年1月14日,015
RPRNMLRKLHKFFBC77CA,16,4.93,共用部份,鋼筋混凝土造,88年1月14日,015
RPRNMLRKLHKFFBC77CA,16,2.19,共用部份,鋼筋混凝土造,88年1月14日,016
RPRNMLRKLHKFFBC77CA,16,1.09,共用部份,鋼筋混凝土造,88年1月14日,016
RPSNMLRKLHKFFBC87CA,32,105.54,住家用,鋼筋混凝土造,72年4月25日,003,三層
RPQNMLSKLHKFFBC77CA,36,75.32,住家用,鋼筋混凝土造,68年7月30日,005,四層
RPVNMLSKLHKFFBC28CA,41,72.16,住家用,鋼筋混凝土加強磚造,63年5月29日,004,四層
RPTNMLTKLHKFFBC18CA,42,136.30,住家用,加強磚造,62年1月3日,002,一層 二層
RPSNMLKLLHKFFBC27CA,,50.53,住家用,見其他登記事項,,004,三層
RPPNMLNLLHKFFBC27CA,8,199.61,見其他登記事項,鋼筋混凝土造,95年10月2日,003,一層 二層 三層 屋頂突出物
RPRNMLTJMHKFFBC97CA,19,102.37,住家用,鋼筋混凝土造,85年3月7日,008,八層
RPRNMLTJMHKFFBC97CA,19,7.26,共用部份,鋼筋混凝土造,85年3月7日,008
RPRNMLTJMHKFFBC97CA,19,5.27,共用部份,鋼筋混凝土造,85年3月7日,008
RPSNMLRJMHKFFBC87CA,19,69.64,住家用,鋼筋混凝土造,84年11月16日,005,五層
RPSNMLRJMHKFFBC87CA,19,9.15,共用部份,鋼筋混凝土造,84年11月16日,005
RPPOMLTKLHKFFCC97CA,25,100.02,住家用,鋼筋混凝土造,79年5月23日,005,二層
RPPOMLTKLHKFFCC97CA,25,6.00,共用部份,鋼筋混凝土造,79年5月23日,005
RPWNMLNLLHKFFCC08CA,6,197.31,見其他登記事項,鋼筋混凝土造,98年3月24日,004,一層 二層 三層 四層
RPVNMLOLLHKFFCC08CA,4,272.14,見其他登記事項,鋼筋混凝土造,100年6月14日,003,一層 二層 三層 屋頂突出物 地下一層 見其他登記事項
RPVNMLOLLHKFFCC08CA,4,29.36,見其他登記事項,鋼筋混凝土造,100年6月14日,003
RPPOMLKKMHKFFCC17CA,33,57.10,住家用,鋼筋混凝土造,70年12月23日,003,一層
RPQOMLKKMHKFFCC27CA,38,79.31,住家用,鋼筋混凝土加強磚造,66年5月18日,004,二層
RPVNMLRKLHKFFCC48EA,32,70.96,住家用,鋼筋混凝土造,72年3月10日,005,四層
RPWNMLRKLHKFFCC58EA,16,29.30,住家用,鋼筋混凝土造,87年12月10日,012,七層
RPWNMLRKLHKFFCC58EA,16,5.04,共用部份,鋼筋混凝土造,87年12月10日,012
RPWNMLRKLHKFFCC58EA,16,1.54,共用部份,鋼筋混凝土造,87年12月10日,012
RPWNMLRKLHKFFCC58EA,16,2.89,共用部份,鋼筋混凝土造,87年12月10日,012
RPPOMLTKLHKFFCC18EA,18,56.04,住家用,鋼筋混凝土造,86年5月8日,011,十一層
RPPOMLTKLHKFFCC18EA,18,1.23,共用部份,鋼筋混凝土造,86年5月8日,011
RPPOMLTKLHKFFCC18EA,18,.62,共用部份,鋼筋混凝土造,86年5月8日,011
RPPOMLTKLHKFFCC18EA,18,12.25,共用部份,鋼筋混凝土造,86年5月8日,011
RPXNMLNLLHKFFCC28DA,31,96.52,住家用,鋼筋混凝土造,72年11月2日,005,三層
RPROMLKKMHKFFCC37CA,39,72.71,住家用,鋼筋混凝土加強磚造,65年6月23日,004,三層
RPRNMLKKMHKFFCC27CA,19,57.13,住家用,鋼筋混凝土造,85年2月16日,007,四層
RPRNMLKKMHKFFCC27CA,19,10.71,共用部份,鋼筋混凝土造,85年2月16日,007
RPWNMLOLLHKFFCC18CA,19,36.24,共用部份,鋼筋混凝土造,85年2月16日,007
RPXNMLOLLHKFFCC28CA,,104.32,見其他登記事項,鋼筋混凝土造,103年11月14日,010,七層
RPXNMLOLLHKFFCC28CA,,71.89,見其他登記事項,鋼筋混凝土造,103年11月14日,010
RPOOMLOLLHKFFCC47CA,,104.32,見其他登記事項,鋼筋混凝土造,103年11月14日,010,五層
RPOOMLOLLHKFFCC47CA,,71.89,見其他登記事項,鋼筋混凝土造,103年11月14日,010
RPQOMLNLLHKFFCC57CA,35,113.85,住家用,鋼筋混凝土造,68年12月4日,005,三層
RPPNMLOLLHKFFCC47CA,6,114.70,住家用,鋼筋混凝土造,98年6月24日,014,七層
RPPNMLOLLHKFFCC47CA,6,81.20,共用部份,鋼筋混凝土造,98年6月24日,014
RPPNMLOLLHKFFCC47CA,6,21.84,共用部份,鋼筋混凝土造,98年6月24日,014
RPSOMLTKLHKFFCC28CA,13,134.28,住家用,鋼筋混凝土造,90年10月4日,005,一層
RPSOMLTKLHKFFCC28CA,13,10.43,共用部份,鋼筋混凝土造,90年10月4日,005
RPSOMLTKLHKFFCC28CA,13,47.67,共用部份,鋼筋混凝土造,90年10月4日,005
RPRNMLSKLHKFFCC97CA,31,78.23,住家用,鋼筋混凝土造,72年9月13日,005,四層
RPSNMLSKLHKFFCC08CA,19,84.84,住家用,鋼筋混凝土造,85年5月3日,005,四層
RPSNMLSKLHKFFCC08CA,19,5.57,共用部份,鋼筋混凝土造,85年5月3日,005
RPSNMLSKLHKFFCC08CA,19,10.65,共用部份,鋼筋混凝土造,85年5月3日,005
